county,office,district,party,candidate,votes,election_day,mail,provisional
Lawrence,Registered Voters,,,,57285,,,
Lawrence,Ballots Cast,,,,25471,19779,5654,38
Lawrence,Ballots Cast Blank,,,,3,0,2,1
Lawrence,Judge of the Superior Court,,REP,MARIA BATTISTA,14093,12213,1871,9
Lawrence,Judge of the Superior Court,,DEM,BRANDON NEUMAN,9606,6177,3410,19
Lawrence,Judge of the Superior Court,,LBR,DANIEL WASSMER,560,423,134,3
Lawrence,Judge of the Superior Court,,,Write-ins,27,22,4,1
Lawrence,Judge of the Commonwealth Court,,REP,MATT WOLFORD,14263,12352,1902,9
Lawrence,Judge of the Commonwealth Court,,DEM,STELLA TSAI,9883,6355,3505,23
Lawrence,Judge of the Commonwealth Court,,,Write-ins,29,25,4,0
Lawrence,Judge of the Court of Common Pleas,,REP,LARRY KEITH,12951,10963,1977,11
Lawrence,Judge of the Court of Common Pleas,,REP,WILLIAM BILL FLANNERY,12795,10787,2001,7
Lawrence,Judge of the Court of Common Pleas,,DEM,BRADLEY G OLSON JR,11238,7936,3279,23
Lawrence,Judge of the Court of Common Pleas,,,D/R DEBORAH SHAW,11044,8274,2757,13
Lawrence,Judge of the Court of Common Pleas,,DEM,JAMES W MANOLIS,9196,6117,3063,16
Lawrence,Judge of the Court of Common Pleas,,,Write-ins,115,105,9,1
Lawrence,District Attorney,,,D/R JOSHUA LAMANCUSA,21300,16339,4933,28
Lawrence,District Attorney,,,Write-ins,335,273,59,3
Lawrence,REGISTER AND RECORDER,,,D/R TAMMY R CRAWFORD,21098,16238,4830,30
Lawrence,REGISTER AND RECORDER,,,Write-ins,187,142,44,1
Lawrence,Sheriff,,,D/R VINCENT MARTWINSKI,21037,16268,4738,31
Lawrence,Sheriff,,,Write-ins,240,185,54,1
Lawrence,Magisterial District Judge,DISTRICT 53-1-1,,D/R MELISSA A AMODIE,3651,2716,927,8
Lawrence,Magisterial District Judge,DISTRICT 53-1-1,,Write-ins,76,56,19,1
Lawrence,Magisterial District Judge,DISTRICT 53-3-4,,D/R RICHARD A RUSSO,8999,6893,2096,10
Lawrence,Magisterial District Judge,DISTRICT 53-3-4,,Write-ins,69,51,17,1
Lawrence,CITY COUNCIL 4YR NEW CASTLE,,DEM,DAVID A ESPOSITO,2267,1532,733,2
Lawrence,CITY COUNCIL 4YR NEW CASTLE,,DEM,DAVID WARD,2065,1438,621,6
Lawrence,CITY COUNCIL 4YR NEW CASTLE,,DEM,ERIC RITTER,1944,1318,621,5
Lawrence,CITY COUNCIL 4YR NEW CASTLE,,REP,ERIC FRANCIS,1753,1453,300,0
Lawrence,CITY COUNCIL 4YR NEW CASTLE,,CON,BILL MESSNER,946,799,145,2
Lawrence,CITY COUNCIL 4YR NEW CASTLE,,CON,RANDY DUFFORD,773,670,102,1
Lawrence,CITY COUNCIL 4YR NEW CASTLE,,,Write-ins,229,210,18,1
Lawrence,CITY COUNCIL 2YR NEW CASTLE,,DEM,DAVID A ESPOSITO,2230,1515,710,5
Lawrence,CITY COUNCIL 2YR NEW CASTLE,,REP,ERIC FRANCIS,1516,1248,268,0
Lawrence,CITY COUNCIL 2YR NEW CASTLE,,CON,RANDY DUFFORD,468,406,60,2
