county,precinct,office,district,party,candidate,votes,absentee/mail,provisional,election_day
Westmoreland,ADAMSBURG BORO,President,,REP,Donald J. Trump,55,8,2,45
Westmoreland,ALLEGHENY TOWNSHIP #1 SHEARERS,President,,REP,Donald J. Trump,1340,278,3,1059
Westmoreland,ALLEGHENY TOWNSHIP #2 MCKEES,President,,REP,Donald J. Trump,369,48,3,318
Westmoreland,ALLEGHENY TOWNSHIP #3 SOBERS,President,,REP,Donald J. Trump,913,140,1,772
Westmoreland,ALLEGHENY TOWNSHIP #4 STEWARTS,President,,REP,Donald J. Trump,426,60,1,365
Westmoreland,ALLEGHENY TOWNSHIP #5 BELLVUE,President,,REP,Donald J. Trump,305,63,0,242
Westmoreland,ARNOLD 1-1,President,,REP,Donald J. Trump,72,14,0,58
Westmoreland,ARNOLD 1-2,President,,REP,Donald J. Trump,41,8,0,33
Westmoreland,ARNOLD 2-1,President,,REP,Donald J. Trump,209,34,0,175
Westmoreland,ARNOLD 2-2,President,,REP,Donald J. Trump,241,27,1,213
Westmoreland,ARNOLD 2-3,President,,REP,Donald J. Trump,219,17,0,202
Westmoreland,ARONA BORO,President,,REP,Donald J. Trump,116,9,0,107
Westmoreland,AVONMORE BORO,President,,REP,Donald J. Trump,346,43,1,302
Westmoreland,BELL TOWNSHIP PERRYSVILLE,President,,REP,Donald J. Trump,570,91,4,475
Westmoreland,BELL TOWNSHIP ROARING RUN,President,,REP,Donald J. Trump,215,12,1,202
Westmoreland,BELL TOWNSHIP SALINA,President,,REP,Donald J. Trump,168,15,1,152
Westmoreland,BOLIVAR BORO,President,,REP,Donald J. Trump,150,11,3,136
Westmoreland,COOK TOWNSHIP,President,,REP,Donald J. Trump,949,143,5,801
Westmoreland,DELMONT BORO,President,,REP,Donald J. Trump,1015,181,5,829
Westmoreland,DERRY BORO 1ST WARD,President,,REP,Donald J. Trump,291,57,1,233
Westmoreland,DERRY BORO 2ND WARD,President,,REP,Donald J. Trump,220,27,0,193
Westmoreland,DERRY BORO 3RD WARD,President,,REP,Donald J. Trump,197,14,6,177
Westmoreland,DERRY BORO 4TH WARD,President,,REP,Donald J. Trump,163,10,2,151
Westmoreland,DERRY TOWNSHIP ALTERS,President,,REP,Donald J. Trump,591,91,1,499
Westmoreland,DERRY TOWNSHIP BRADENVILLE,President,,REP,Donald J. Trump,339,49,3,287
Westmoreland,DERRY TOWNSHIP COKEVILLE,President,,REP,Donald J. Trump,303,38,0,265
Westmoreland,DERRY TOWNSHIP COOPERSTOWN,President,,REP,Donald J. Trump,649,103,2,544
Westmoreland,DERRY TOWNSHIP KINGSTON,President,,REP,Donald J. Trump,236,31,1,204
Westmoreland,DERRY TOWNSHIP LOYALHANNA,President,,REP,Donald J. Trump,349,49,0,300
Westmoreland,DERRY TOWNSHIP MILLWOOD,President,,REP,Donald J. Trump,502,76,4,422
Westmoreland,DERRY TOWNSHIP NEW DERRY,President,,REP,Donald J. Trump,763,129,2,632
Westmoreland,DERRY TOWNSHIP PEANUT,President,,REP,Donald J. Trump,353,48,1,304
Westmoreland,DERRY TOWNSHIP SAXMAN,President,,REP,Donald J. Trump,531,82,3,446
Westmoreland,DERRY TOWNSHIP SCALP LEVEL,President,,REP,Donald J. Trump,292,37,0,255
Westmoreland,DERRY TOWNSHIP SIMPSONS,President,,REP,Donald J. Trump,355,67,3,285
Westmoreland,DERRY TOWNSHIP TORRANCE,President,,REP,Donald J. Trump,107,48,0,59
Westmoreland,DONEGAL BORO,President,,REP,Donald J. Trump,36,5,0,31
Westmoreland,DONEGAL TOWNSHIP FOUR MILE RUN,President,,REP,Donald J. Trump,689,105,2,582
Westmoreland,DONEGAL TOWNSHIP INDIAN CREEK,President,,REP,Donald J. Trump,327,36,1,290
Westmoreland,EAST HUNTINGDON TOWNSHIP BESSEMER #1,President,,REP,Donald J. Trump,322,33,1,288
Westmoreland,EAST HUNTINGDON TOWNSHIP BESSEMER #2,President,,REP,Donald J. Trump,665,97,1,567
Westmoreland,EAST HUNTINGDON TOWNSHIP RUFFSDALE,President,,REP,Donald J. Trump,678,86,1,591
Westmoreland,EAST HUNTINGDON TOWNSHIP STONERS,President,,REP,Donald J. Trump,345,38,1,306
Westmoreland,EAST HUNTINGDON TOWNSHIP STROHMS,President,,REP,Donald J. Trump,400,42,2,356
Westmoreland,EAST HUNTINGDON TOWNSHIP WHITES,President,,REP,Donald J. Trump,769,158,6,605
Westmoreland,EAST VANDERGRIFT BORO,President,,REP,Donald J. Trump,166,9,1,156
Westmoreland,EXPORT BORO,President,,REP,Donald J. Trump,312,37,3,272
Westmoreland,FAIRFIELD TOWNSHIP FAIRFIELD,President,,REP,Donald J. Trump,260,38,1,221
Westmoreland,FAIRFIELD TOWNSHIP NORTH FAIRFIELD,President,,REP,Donald J. Trump,193,23,0,170
Westmoreland,FAIRFIELD TOWNSHIP SOUTH FAIRFIELD,President,,REP,Donald J. Trump,458,65,2,391
Westmoreland,GREENSBURG 1-1,President,,REP,Donald J. Trump,86,13,0,73
Westmoreland,GREENSBURG 1-2,President,,REP,Donald J. Trump,410,92,2,316
Westmoreland,GREENSBURG 2-1,President,,REP,Donald J. Trump,91,23,0,68
Westmoreland,GREENSBURG 2-2,President,,REP,Donald J. Trump,202,45,1,156
Westmoreland,GREENSBURG 2-3,President,,REP,Donald J. Trump,382,97,4,281
Westmoreland,GREENSBURG 2-4,President,,REP,Donald J. Trump,836,181,5,650
Westmoreland,GREENSBURG 3RD WARD,President,,REP,Donald J. Trump,99,23,1,75
Westmoreland,GREENSBURG 4-1,President,,REP,Donald J. Trump,112,29,0,83
Westmoreland,GREENSBURG 5-1,President,,REP,Donald J. Trump,241,25,4,212
Westmoreland,GREENSBURG 5-2,President,,REP,Donald J. Trump,111,23,0,88
Westmoreland,GREENSBURG 6TH WARD,President,,REP,Donald J. Trump,86,14,0,72
Westmoreland,GREENSBURG 7-1,President,,REP,Donald J. Trump,402,63,0,339
Westmoreland,GREENSBURG 7-2,President,,REP,Donald J. Trump,241,42,0,199
Westmoreland,GREENSBURG 8-1,President,,REP,Donald J. Trump,231,32,0,199
Westmoreland,GREENSBURG 8-2,President,,REP,Donald J. Trump,174,41,0,133
Westmoreland,HEMPFIELD TOWNSHIP #1 FOXHILL,President,,REP,Donald J. Trump,956,231,1,724
Westmoreland,HEMPFIELD TOWNSHIP #2 ALWINE,President,,REP,Donald J. Trump,1398,354,8,1036
Westmoreland,HEMPFIELD TOWNSHIP #3 MAPLEWOOD,President,,REP,Donald J. Trump,716,176,6,534
Westmoreland,HEMPFIELD TOWNSHIP #4 CARBON,President,,REP,Donald J. Trump,1517,433,1,1083
Westmoreland,HEMPFIELD TOWNSHIP #5 WENDEL-HERMINIE,President,,REP,Donald J. Trump,581,94,0,487
Westmoreland,HEMPFIELD TOWNSHIP #6 LUXOR,President,,REP,Donald J. Trump,227,31,0,196
Westmoreland,HEMPFIELD TOWNSHIP #7 HANNASTOWN,President,,REP,Donald J. Trump,169,13,2,154
Westmoreland,HEMPFIELD TOWNSHIP #8 BOVARD,President,,REP,Donald J. Trump,292,57,2,233
Westmoreland,HEMPFIELD TOWNSHIP EAST ADAMSBURG,President,,REP,Donald J. Trump,778,122,4,652
Westmoreland,HEMPFIELD TOWNSHIP EASTVIEW,President,,REP,Donald J. Trump,363,92,0,271
Westmoreland,HEMPFIELD TOWNSHIP FORT ALLEN,President,,REP,Donald J. Trump,931,188,0,743
Westmoreland,HEMPFIELD TOWNSHIP GAYVILLE,President,,REP,Donald J. Trump,164,36,1,127
Westmoreland,HEMPFIELD TOWNSHIP GRAPEVILLE,President,,REP,Donald J. Trump,296,30,2,264
Westmoreland,HEMPFIELD TOWNSHIP HAYDENVILLE,President,,REP,Donald J. Trump,418,85,1,332
Westmoreland,HEMPFIELD TOWNSHIP HIGH PARK,President,,REP,Donald J. Trump,174,24,0,150
Westmoreland,HEMPFIELD TOWNSHIP LINCOLN HEIGHTS EAST,President,,REP,Donald J. Trump,670,146,4,520
Westmoreland,HEMPFIELD TOWNSHIP LINCOLN HEIGHTS WEST,President,,REP,Donald J. Trump,496,89,7,400
Westmoreland,HEMPFIELD TOWNSHIP MIDDLETOWN,President,,REP,Donald J. Trump,472,82,1,389
Westmoreland,HEMPFIELD TOWNSHIP NEW STANTON,President,,REP,Donald J. Trump,427,57,0,370
Westmoreland,HEMPFIELD TOWNSHIP NORTH CARBON,President,,REP,Donald J. Trump,223,43,1,179
Westmoreland,HEMPFIELD TOWNSHIP SIBEL,President,,REP,Donald J. Trump,114,19,1,94
Westmoreland,HEMPFIELD TOWNSHIP TODD,President,,REP,Donald J. Trump,782,200,4,578
Westmoreland,HEMPFIELD TOWNSHIP UNIVERSITY,President,,REP,Donald J. Trump,493,106,0,387
Westmoreland,HEMPFIELD TOWNSHIP VALLEY,President,,REP,Donald J. Trump,670,107,1,562
Westmoreland,HEMPFIELD TOWNSHIP WEAVER'S OLD STAND,President,,REP,Donald J. Trump,795,161,1,633
Westmoreland,HEMPFIELD TOWNSHIP WEGLEY,President,,REP,Donald J. Trump,226,31,2,193
Westmoreland,HEMPFIELD TOWNSHIP WEST HEMPFIELD,President,,REP,Donald J. Trump,859,157,1,701
Westmoreland,HEMPFIELD TOWNSHIP WEST POINT,President,,REP,Donald J. Trump,1154,313,3,838
Westmoreland,HUNKER BORO,President,,REP,Donald J. Trump,125,15,0,110
Westmoreland,HYDE PARK BORO,President,,REP,Donald J. Trump,189,16,0,173
Westmoreland,IRWIN BORO 1ST WARD,President,,REP,Donald J. Trump,161,20,1,140
Westmoreland,IRWIN BORO 2ND WARD,President,,REP,Donald J. Trump,147,18,1,128
Westmoreland,IRWIN BORO 3RD WARD,President,,REP,Donald J. Trump,193,29,3,161
Westmoreland,IRWIN BORO 4TH WARD,President,,REP,Donald J. Trump,142,24,1,117
Westmoreland,IRWIN BORO 5TH WARD,President,,REP,Donald J. Trump,153,20,1,132
