county,precinct,office,district,party,candidate,votes,election_day,mail,provisional
Lackawanna,Waverly Township W-00 P-00,Registered Voters,,,,1571,,,
Lackawanna,Waverly Township W-00 P-00,Ballots Cast,,,,1315,950,360,5
Lackawanna,Waverly Township W-00 P-00,Ballots Cast - Blank,,,,1,0,0,1
Lackawanna,Waverly Township W-00 P-00,President,,DEM,HARRIS and WALZ,743,493,247,3
Lackawanna,Waverly Township W-00 P-00,President,,REP,TRUMP and VANCE,552,441,110,1
Lackawanna,Waverly Township W-00 P-00,President,,LIB,OLIVER and TER MAAT,5,4,1,0
Lackawanna,Waverly Township W-00 P-00,President,,GRN,STEIN and WARE,5,5,0,0
Lackawanna,Waverly Township W-00 P-00,President,,,Write-ins,5,4,1,0
Lackawanna,Waverly Township W-00 P-00,U.S. Senate,,,"DEM ROBERT P. CASEY, JR.",743,500,240,3
Lackawanna,Waverly Township W-00 P-00,U.S. Senate,,REP,DAVE MCCORMICK,552,436,115,1
Lackawanna,Waverly Township W-00 P-00,U.S. Senate,,LIB,JOHN C. THOMAS,5,3,2,0
Lackawanna,Waverly Township W-00 P-00,U.S. Senate,,GRN,LEILA HAZOU,6,5,1,0
Lackawanna,Waverly Township W-00 P-00,U.S. Senate,,CST,MARTY SELKER,0,0,0,0
Lackawanna,Waverly Township W-00 P-00,U.S. Senate,,,Write-ins,1,0,1,0
Lackawanna,Waverly Township W-00 P-00,Attorney General,,DEM,EUGENE DEPASQUALE,692,464,225,3
Lackawanna,Waverly Township W-00 P-00,Attorney General,,REP,DAVE SUNDAY,561,442,119,0
Lackawanna,Waverly Township W-00 P-00,Attorney General,,LIB,ROBERT COWBURN,16,12,4,0
Lackawanna,Waverly Township W-00 P-00,Attorney General,,GRN,RICHARD L. WEISS,6,6,0,0
Lackawanna,Waverly Township W-00 P-00,Attorney General,,CST,JUSTIN L. MAGILL,5,5,0,0
