county,precinct,office,district,party,candidate,votes,early_voting,election_day,provisional,mail
Jefferson,Barnett Township,Ballots Cast,,,,185,,121,1,63
Jefferson,Barnett Township,President,,DEM,Kamala D Harris / Tim Walz,54,,28,0,26
Jefferson,Barnett Township,President,,REP,Donald J Trump / JD Vance,129,,91,1,37
Jefferson,Barnett Township,President,,LIB,Chase Oliver / Mike ter Maat,1,,1,0,0
Jefferson,Barnett Township,President,,GRN,Jill Stein / Rudolph Ware,1,,1,0,0
Jefferson,Barnett Township,President,,,Write-Ins,0,,0,0,0
Jefferson,Barnett Township,U.S. Senate,,DEM,Robert P Casey Jr,54,,28,0,26
Jefferson,Barnett Township,U.S. Senate,,REP,Dave McCormick,124,,89,1,34
Jefferson,Barnett Township,U.S. Senate,,LIB,John C Thomas,4,,4,0,0
Jefferson,Barnett Township,U.S. Senate,,GRN,Leila Hazou,0,,0,0,0
Jefferson,Barnett Township,U.S. Senate,,CST,Marty Selker,2,,0,0,2
Jefferson,Barnett Township,U.S. Senate,,,Write-Ins,0,,0,0,0
Jefferson,Barnett Township,U.S. House,15,DEM,Zach Womer,52,,29,0,23
Jefferson,Barnett Township,U.S. House,15,REP,Glenn GT Thompson,130,,91,1,38
Jefferson,Barnett Township,U.S. House,15,,Write-Ins,0,,0,0,0
Jefferson,Barnett Township,State Senate,25,DEM,William McGill,48,,25,0,23
Jefferson,Barnett Township,State Senate,25,REP,Cris Dush,129,,92,1,36
Jefferson,Barnett Township,State Senate,25,,Write-Ins,0,,0,0,0
Jefferson,Barnett Township,State House,66,REP,Brian Smith,150,,105,1,44
Jefferson,Barnett Township,State House,66,,Write-Ins,6,,3,0,3
Jefferson,Barnett Township,Registered Voters,,,,229,,,,
Jefferson,Beaver Township,Ballots Cast,,,,272,,251,0,21
Jefferson,Beaver Township,President,,DEM,Kamala D Harris / Tim Walz,24,,19,0,5
Jefferson,Beaver Township,President,,REP,Donald J Trump / JD Vance,246,,230,0,16
Jefferson,Beaver Township,President,,LIB,Chase Oliver / Mike ter Maat,0,,0,0,0
Jefferson,Beaver Township,President,,GRN,Jill Stein / Rudolph Ware,1,,1,0,0
Jefferson,Beaver Township,President,,,Write-Ins,0,,0,0,0
Jefferson,Beaver Township,U.S. Senate,,DEM,Robert P Casey Jr,24,,18,0,6
Jefferson,Beaver Township,U.S. Senate,,REP,Dave McCormick,241,,226,0,15
Jefferson,Beaver Township,U.S. Senate,,LIB,John C Thomas,4,,4,0,0
Jefferson,Beaver Township,U.S. Senate,,GRN,Leila Hazou,2,,2,0,0
Jefferson,Beaver Township,U.S. Senate,,CST,Marty Selker,1,,1,0,0
Jefferson,Beaver Township,U.S. Senate,,,Write-Ins,0,,0,0,0
Jefferson,Beaver Township,U.S. House,15,DEM,Zach Womer,15,,13,0,2
Jefferson,Beaver Township,U.S. House,15,REP,Glenn GT Thompson,254,,235,0,19
Jefferson,Beaver Township,U.S. House,15,,Write-Ins,0,,0,0,0
Jefferson,Beaver Township,State Senate,25,DEM,William McGill,15,,13,0,2
Jefferson,Beaver Township,State Senate,25,REP,Cris Dush,248,,229,0,19
Jefferson,Beaver Township,State Senate,25,,Write-Ins,0,,0,0,0
Jefferson,Beaver Township,State House,66,REP,Brian Smith,254,,234,0,20
Jefferson,Beaver Township,State House,66,,Write-Ins,2,,2,0,0
Jefferson,Beaver Township,Registered Voters,,,,321,,,,
Jefferson,Bell Township,Ballots Cast,,,,1171,,917,2,252
Jefferson,Bell Township,President,,DEM,Kamala D Harris / Tim Walz,209,,125,1,83
Jefferson,Bell Township,President,,REP,Donald J Trump / JD Vance,954,,785,1,168
Jefferson,Bell Township,President,,LIB,Chase Oliver / Mike ter Maat,5,,4,0,1
Jefferson,Bell Township,President,,GRN,Jill Stein / Rudolph Ware,1,,1,0,0
Jefferson,Bell Township,President,,,Write-Ins,2,,2,0,0
Jefferson,Bell Township,U.S. Senate,,DEM,Robert P Casey Jr,203,,122,1,80
Jefferson,Bell Township,U.S. Senate,,REP,Dave McCormick,934,,766,1,167
Jefferson,Bell Township,U.S. Senate,,LIB,John C Thomas,15,,13,0,2
Jefferson,Bell Township,U.S. Senate,,GRN,Leila Hazou,3,,3,0,0
Jefferson,Bell Township,U.S. Senate,,CST,Marty Selker,4,,4,0,0
Jefferson,Bell Township,U.S. Senate,,,Write-Ins,2,,2,0,0
Jefferson,Bell Township,U.S. House,15,DEM,Zach Womer,174,,101,0,73
Jefferson,Bell Township,U.S. House,15,REP,Glenn GT Thompson,958,,785,2,171
Jefferson,Bell Township,U.S. House,15,,Write-Ins,2,,2,0,0
Jefferson,Bell Township,State Senate,41,REP,Joe Pittman,1002,,809,2,191
