county,precinct,office,district,party,candidate,votes,absentee/mail-in,provisional,election_day
Cambria,Adams Township No. 1,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",245,71,2,172
Cambria,Adams Township - Dunlo,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",113,26,2,85
Cambria,Adams Township - Elton,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",244,80,2,162
Cambria,Adams Township - Gramlingtown,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",102,31,1,70
Cambria,Adams Township - St. Michael,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",211,70,1,140
Cambria,Allegheny Township,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",214,110,1,103
Cambria,Ashville Borough,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",31,8,0,23
Cambria,Barr Township,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",201,85,0,116
Cambria,Blacklick Township,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",249,105,1,143
Cambria,Brownstown Borough,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",146,46,1,99
Cambria,Cambria Township No. 1,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",352,162,3,187
Cambria,Cambria Township - Colver,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",187,49,2,136
Cambria,Cambria Township - Revloc,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",118,24,2,92
Cambria,Cambria Township No. 4,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",236,103,5,128
Cambria,Carrolltown Borough,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",204,64,0,140
Cambria,Cassandra Borough,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",20,8,0,12
Cambria,Chest Springs Borough,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",24,4,0,20
Cambria,Chest Township,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",61,24,1,36
Cambria,Clearfield Township,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",204,95,0,109
Cambria,Conemaugh Township - Cover Hill,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",109,39,1,69
Cambria,Conemaugh Township - Center,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",143,54,5,84
Cambria,Cresson Borough,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",231,82,2,147
Cambria,Cresson Township - North,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",220,78,4,138
Cambria,Cresson Township - South,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",189,62,2,125
Cambria,Croyle Township No. 1,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",145,56,2,87
Cambria,Croyle Township No. 2,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",165,57,1,107
Cambria,Daisytown Borough,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",37,11,0,26
Cambria,Dale Borough,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",167,55,5,107
Cambria,Dean Township,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",60,24,0,36
Cambria,East Carroll Township - North,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",67,24,1,42
Cambria,East Carroll Township - South,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",146,58,1,87
Cambria,East Conemaugh Borough,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",145,40,3,102
Cambria,East Taylor Township No. 1,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",206,86,3,117
Cambria,East Taylor Township No. 2,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",120,48,0,72
Cambria,Ebensburg Borough - Center,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",234,94,1,139
Cambria,Ebensburg Borough - East,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",256,91,3,162
Cambria,Ebensburg Borough - West,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",277,104,0,173
Cambria,Ehrenfeld Borough,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",30,2,0,28
Cambria,Elder Township,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",130,59,1,70
Cambria,Ferndale Borough,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",259,91,1,167
Cambria,Franklin Borough,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",69,21,1,47
Cambria,Gallitzin Borough,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",192,51,0,141
Cambria,Gallitzin Township,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",142,43,1,98
Cambria,Geistown Borough No. 1,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",175,65,4,106
Cambria,Geistown Borough No. 2,President,,DEM,"KAMALA D. HARRIS, PRESIDENT / TIM WALZ, VICE-PRESIDENT",280,127,5,148
