county,precinct,office,office,party,candidate,votes,election_day,mail,provisional
Wayne,BERLIN TOWNSHIP #1,Registered Voters,,,,948,,,
Wayne,BERLIN TOWNSHIP #1,Ballots Cast,,,,777,,,
Wayne,BERLIN TOWNSHIP #1,President,,DEM,KAMALA D HARRIS,182,104,78,0
Wayne,BERLIN TOWNSHIP #1,President,,REP,DONALD J TRUMP,591,491,97,3
Wayne,BERLIN TOWNSHIP #1,President,,LIB,CHASE OLIVER,2,1,1,0
Wayne,BERLIN TOWNSHIP #1,President,,GRN,JILL STEIN,0,0,0,0
Wayne,BERLIN TOWNSHIP #1,President,,,Write-ins,1,1,0,0
Wayne,BERLIN TOWNSHIP #1,President,,,Over Votes,0,,,
Wayne,BERLIN TOWNSHIP #1,President,,,Under Votes,1,,,
Wayne,BERLIN TOWNSHIP #1,U.S. Senate,,DEM,ROBERT P CASEY JR,177,100,77,0
Wayne,BERLIN TOWNSHIP #1,U.S. Senate,,REP,DAVE MCCORMICK,587,485,99,3
Wayne,BERLIN TOWNSHIP #1,U.S. Senate,,LIB,JOHN C THOMAS,6,6,0,0
Wayne,BERLIN TOWNSHIP #1,U.S. Senate,,GRN,LEILA HAZOU,1,1,0,0
Wayne,BERLIN TOWNSHIP #1,U.S. Senate,,CST,MARTY SELKER,0,0,0,0
Wayne,BERLIN TOWNSHIP #1,U.S. Senate,,,Write-ins,0,0,0,0
Wayne,BERLIN TOWNSHIP #1,U.S. Senate,,,Over Votes,0,,,
Wayne,BERLIN TOWNSHIP #1,U.S. Senate,,,Under Votes,6,,,
Wayne,BERLIN TOWNSHIP #1,ATTORNEY GENERAL,,DEM,EUGENE DEPASQUALE,165,97,68,0
Wayne,BERLIN TOWNSHIP #1,ATTORNEY GENERAL,,REP,DAVE SUNDAY,580,477,100,3
Wayne,BERLIN TOWNSHIP #1,ATTORNEY GENERAL,,LIB,ROBERT COWBURN,7,6,1,0
Wayne,BERLIN TOWNSHIP #1,ATTORNEY GENERAL,,GRN,RICHARD L WEISS,3,2,1,0
Wayne,BERLIN TOWNSHIP #1,ATTORNEY GENERAL,,CST,JUSTIN L MAGILL,3,2,1,0
Wayne,BERLIN TOWNSHIP #1,ATTORNEY GENERAL,,FWD,ERIC L SETTLE,1,1,0,0
Wayne,BERLIN TOWNSHIP #1,ATTORNEY GENERAL,,,Write-ins,0,0,0,0
Wayne,BERLIN TOWNSHIP #1,ATTORNEY GENERAL,,,Over Votes,0,,,
Wayne,BERLIN TOWNSHIP #1,ATTORNEY GENERAL,,,Under Votes,15,,,
