county,precinct,office,district,party,candidate,votes,election_day,mail,provisional
Northampton,010001-1 ALLEN TWSP NORTH,Registered Voters,,,,2039,,,
Northampton,010001-1 ALLEN TWSP NORTH,Ballots Cast,,,,1720,1085,613,22
Northampton,010001-1 ALLEN TWSP NORTH,Ballots Cast,,,,0,0,0,0
Northampton,010001-1 ALLEN TWSP NORTH,President,,DEM,HARRIS,655,288,359,8
Northampton,010001-1 ALLEN TWSP NORTH,President,,REP,TRUMP,1041,785,242,14
Northampton,010001-1 ALLEN TWSP NORTH,President,,LIB,OLIVER,9,6,3,0
Northampton,010001-1 ALLEN TWSP NORTH,President,,GRN,STEIN,5,3,2,0
Northampton,010001-1 ALLEN TWSP NORTH,President,,,Write-ins,2,0,2,0
Northampton,010001-1 ALLEN TWSP NORTH,President,,,Over Votes,0,0,0,0
Northampton,010001-1 ALLEN TWSP NORTH,President,,,Under Votes,8,3,5,0
Northampton,010001-1 ALLEN TWSP NORTH,U.S. Senate,,DEM,ROBERT P CASEY JR,654,284,362,8
Northampton,010001-1 ALLEN TWSP NORTH,U.S. Senate,,REP,DAVE MCCORMICK,1001,759,230,12
Northampton,010001-1 ALLEN TWSP NORTH,U.S. Senate,,LIB,JOHN C THOMAS,20,12,8,0
Northampton,010001-1 ALLEN TWSP NORTH,U.S. Senate,,GRN,LEILA HAZOU,11,6,4,1
Northampton,010001-1 ALLEN TWSP NORTH,U.S. Senate,,CST,MARTY SELKER,5,2,3,0
Northampton,010001-1 ALLEN TWSP NORTH,U.S. Senate,,,Write-ins,1,0,1,0
Northampton,010001-1 ALLEN TWSP NORTH,U.S. Senate,,,Over Votes,0,0,0,0
Northampton,010001-1 ALLEN TWSP NORTH,U.S. Senate,,,Under Votes,28,22,5,1
Northampton,010001-1 ALLEN TWSP NORTH,Attorney General,,DEM,EUGENE DEPASQUALE,599,258,335,6
Northampton,010001-1 ALLEN TWSP NORTH,Attorney General,,REP,DAVE SUNDAY,1026,770,243,13
Northampton,010001-1 ALLEN TWSP NORTH,Attorney General,,LIB,ROBERT COWBURN,28,17,9,2
Northampton,010001-1 ALLEN TWSP NORTH,Attorney General,,GRN,RICHARD L WEISS,12,8,4,0
Northampton,010001-1 ALLEN TWSP NORTH,Attorney General,,CST,JUSTIN L MAGILL,7,2,5,0
Northampton,010001-1 ALLEN TWSP NORTH,Attorney General,,FWD,ERIC L SETTLE,2,0,2,0
Northampton,010001-1 ALLEN TWSP NORTH,Attorney General,,,Write-ins,1,0,1,0
Northampton,010001-1 ALLEN TWSP NORTH,Attorney General,,,Over Votes,0,0,0,0
Northampton,010001-1 ALLEN TWSP NORTH,Attorney General,,,Under Votes,45,30,14,1
Northampton,010001-1 ALLEN TWSP NORTH,Auditor General,,DEM,MALCOLM KENYATTA,608,269,330,9
Northampton,010001-1 ALLEN TWSP NORTH,Auditor General,,REP,TIM DEFOOR,1020,756,252,12
Northampton,010001-1 ALLEN TWSP NORTH,Auditor General,,LIB,REECE SMITH,28,17,11,0
Northampton,010001-1 ALLEN TWSP NORTH,Auditor General,,ASP,ERIC K ANTON,3,3,0,0
Northampton,010001-1 ALLEN TWSP NORTH,Auditor General,,CST,BOB GOODRICH,4,1,3,0
Northampton,010001-1 ALLEN TWSP NORTH,Auditor General,,,Write-ins,0,0,0,0
Northampton,010001-1 ALLEN TWSP NORTH,Auditor General,,,Over Votes,0,0,0,0
Northampton,010001-1 ALLEN TWSP NORTH,Auditor General,,,Under Votes,57,39,17,1
Northampton,010001-1 ALLEN TWSP NORTH,State Treasurer,,DEM,ERIN MCCLELLAND,610,268,336,6
Northampton,010001-1 ALLEN TWSP NORTH,State Treasurer,,REP,STACY GARRITY,1022,761,247,14
