county,precinct,office,district,party,candidates,votes,,,
Lancaster,Lancaster City - 1st Ward,U.S. Senate,,DEM,Bob Casey Jr.,279,,,
Lancaster,Lancaster City - 2nd Ward - 1st Precinct,U.S. Senate,,DEM,Bob Casey Jr.,420,,,
Lancaster,Lancaster City - 2nd Ward - 2nd Precinct,U.S. Senate,,DEM,Bob Casey Jr.,408,,,
Lancaster,Lancaster City - 3rd Ward,U.S. Senate,,DEM,Bob Casey Jr.,360,,,
Lancaster,Lancaster City - 4th Ward - 1st Precinct,U.S. Senate,,DEM,Bob Casey Jr.,169,,,
Lancaster,Lancaster City - 4th Ward - 2nd Precinct,U.S. Senate,,DEM,Bob Casey Jr.,210,,,
Lancaster,Lancaster City - 5th Ward - 1st Precinct,U.S. Senate,,DEM,Bob Casey Jr.,437,,,
Lancaster,Lancaster City - 5th Ward - 2nd Precinct,U.S. Senate,,DEM,Bob Casey Jr.,306,,,
Lancaster,Lancaster City - 5th Ward - 3rd Precinct,U.S. Senate,,DEM,Bob Casey Jr.,395,,,
Lancaster,Lancaster City - 6th Ward - 1st Precinct,U.S. Senate,,DEM,Bob Casey Jr.,381,,,
Lancaster,Lancaster City - 6th Ward - 2nd Precinct,U.S. Senate,,DEM,Bob Casey Jr.,265,,,
Lancaster,Lancaster City - 6th Ward - 3rd Precinct,U.S. Senate,,DEM,Bob Casey Jr.,385,,,
Lancaster,Lancaster City - 6th Ward - 4th Precinct,U.S. Senate,,DEM,Bob Casey Jr.,421,,,
Lancaster,Lancaster City - 6th Ward - 5th Precinct,U.S. Senate,,DEM,Bob Casey Jr.,405,,,
Lancaster,Lancaster City - 6th Ward - 6th Precinct,U.S. Senate,,DEM,Bob Casey Jr.,197,,,
Lancaster,Lancaster City - 6th Ward - 7th Precinct,U.S. Senate,,DEM,Bob Casey Jr.,421,,,
Lancaster,Lancaster City - 6th Ward - 8th Precinct,U.S. Senate,,DEM,Bob Casey Jr.,374,,,
Lancaster,Lancaster City - 7th Ward - 1st Precinct,U.S. Senate,,DEM,Bob Casey Jr.,337,,,
Lancaster,Lancaster City - 7th Ward - 2nd Precinct,U.S. Senate,,DEM,Bob Casey Jr.,340,,,
Lancaster,Lancaster City - 7th Ward - 3rd Precinct,U.S. Senate,,DEM,Bob Casey Jr.,210,,,
Lancaster,Lancaster City - 7th Ward - 4th Precinct,U.S. Senate,,DEM,Bob Casey Jr.,279,,,
Lancaster,Lancaster City - 7th Ward - 5th Precinct,U.S. Senate,,DEM,Bob Casey Jr.,229,,,
Lancaster,Lancaster City - 7th Ward - 6th Precinct,U.S. Senate,,DEM,Bob Casey Jr.,188,,,
Lancaster,Lancaster City - 7th Ward - 7th Precinct,U.S. Senate,,DEM,Bob Casey Jr.,301,,,
Lancaster,Lancaster City - 7th Ward - 8th Precinct (CV),U.S. Senate,,DEM,Bob Casey Jr.,99,,,
Lancaster,Lancaster City - 7th Ward - 8th Precinct (LS),U.S. Senate,,DEM,Bob Casey Jr.,156,,,
Lancaster,Lancaster City - 8th Ward - 1st Precinct,U.S. Senate,,DEM,Bob Casey Jr.,227,,,
Lancaster,Lancaster City - 8th Ward - 2nd Precinct,U.S. Senate,,DEM,Bob Casey Jr.,215,,,
Lancaster,Lancaster City - 8th Ward - 3rd Precinct,U.S. Senate,,DEM,Bob Casey Jr.,252,,,
Lancaster,Lancaster City - 8th Ward - 4th Precinct,U.S. Senate,,DEM,Bob Casey Jr.,502,,,
Lancaster,Lancaster City - 8th Ward - 5th Precinct,U.S. Senate,,DEM,Bob Casey Jr.,257,,,
Lancaster,Lancaster City - 8th Ward - 6th Precinct,U.S. Senate,,DEM,Bob Casey Jr.,253,,,
Lancaster,Lancaster City - 8th Ward - 7th Precinct,U.S. Senate,,DEM,Bob Casey Jr.,420,,,
Lancaster,Lancaster City - 8th Ward - 8th Precinct,U.S. Senate,,DEM,Bob Casey Jr.,426,,,
