county,precinct,office,district,party,candidate,votes,election_day,absentee,provisional
Butler,0001 ADAMS TOWNSHIP 1,Registered Voters,,,,3957,,,
Butler,0001 ADAMS TOWNSHIP 1,Ballots Cast,,,,2446,2323.0,122.0,1.0
Butler,0001 ADAMS TOWNSHIP 1,Straight Party,,DEM,DEMOCRATIC,521,491.0,29.0,1.0
Butler,0001 ADAMS TOWNSHIP 1,Straight Party,,REP,REPUBLICAN,811,758.0,53.0,0.0
Butler,0001 ADAMS TOWNSHIP 1,Straight Party,,GRN,GREEN,1,1.0,0.0,0.0
Butler,0001 ADAMS TOWNSHIP 1,Straight Party,,IND,INDEPENDENT,0,0.0,0.0,0.0
Butler,0001 ADAMS TOWNSHIP 1,Straight Party,,LIB,LIBERTARIAN,1,1.0,0.0,0.0
Butler,0001 ADAMS TOWNSHIP 1,U.S. Senate,,DEM,"BOB CASEY, JR",1047,996.0,50.0,1.0
Butler,0001 ADAMS TOWNSHIP 1,U.S. Senate,,REP,LOU BARLETTA,1369,1297.0,72.0,0.0
Butler,0001 ADAMS TOWNSHIP 1,U.S. Senate,,GRN,NEAL GALE,6,6.0,0.0,0.0
Butler,0001 ADAMS TOWNSHIP 1,U.S. Senate,,LIB,"DALE R KERNS, JR",15,15.0,0.0,0.0
Butler,0001 ADAMS TOWNSHIP 1,U.S. Senate,,,WRITE-INS,1,1.0,0.0,0.0
Butler,0001 ADAMS TOWNSHIP 1,Governor,,DEM,TOM WOLF,1115,1066.0,48.0,1.0
Butler,0001 ADAMS TOWNSHIP 1,Governor,,REP,SCOTT R WAGNER,1295,1222.0,73.0,0.0
Butler,0001 ADAMS TOWNSHIP 1,Governor,,GRN,PAUL GLOVER,4,4.0,0.0,0.0
Butler,0001 ADAMS TOWNSHIP 1,Governor,,LIB,KEN V KRAWCHUK,24,24.0,0.0,0.0
Butler,0001 ADAMS TOWNSHIP 1,Governor,,,WRITE-INS,1,1.0,0.0,0.0
Butler,0001 ADAMS TOWNSHIP 1,U.S. House,16.0,DEM,RON DINICOLA,947,903.0,43.0,1.0
Butler,0001 ADAMS TOWNSHIP 1,U.S. House,16.0,REP,MIKE KELLY,1473,1396.0,77.0,0.0
Butler,0001 ADAMS TOWNSHIP 1,U.S. House,16.0,LIB,EBERT G BILL BEEMAN,23,21.0,2.0,0.0
Butler,0001 ADAMS TOWNSHIP 1,U.S. House,16.0,,WRITE-INS,0,0.0,0.0,0.0
Butler,0001 ADAMS TOWNSHIP 1,State House,12.0,DEM,"DANIEL B SMITH, JR",1105,1057.0,47.0,1.0
Butler,0001 ADAMS TOWNSHIP 1,State House,12.0,REP,DARYL METCALFE,1319,1244.0,75.0,0.0
Butler,0001 ADAMS TOWNSHIP 1,State House,12.0,,WRITE-INS,2,2.0,0.0,0.0
Butler,0002 ADAMS TOWNSHIP 2,Registered Voters,,,,3140,,,
Butler,0002 ADAMS TOWNSHIP 2,Ballots Cast,,,,1956,1777.0,173.0,6.0
Butler,0002 ADAMS TOWNSHIP 2,Straight Party,,DEM,DEMOCRATIC,330,292.0,37.0,1.0
Butler,0002 ADAMS TOWNSHIP 2,Straight Party,,REP,REPUBLICAN,759,693.0,65.0,1.0
