county,precinct,office,district,candidate,party,votes,election_day,mail
Forest,Barnett Township,Registered Voters,,,,277,,
Forest,Barnett Township,Ballots Cast,,,,221,164,57
Forest,Barnett Township,Ballots Cast Blank,,,,0,0,0
Forest,Barnett Township,President,,Joseph R. Biden,DEM,46,21,25
Forest,Barnett Township,President,,Donald J. Trump,REP,172,142,30
Forest,Barnett Township,President,,Jo Jorgensen,LIB,1,1,0
Forest,Barnett Township,President,,Write-ins,,2,0,2
Forest,Barnett Township,Attorney General,,Josh Shapiro,DEM,64,38,26
Forest,Barnett Township,Attorney General,,Heather Heidelbaugh,REP,150,120,30
Forest,Barnett Township,Attorney General,,Daniel Wassmer,LIB,5,4,1
Forest,Barnett Township,Attorney General,,Richard L. Weiss,GRE,1,1,0
Forest,Barnett Township,Attorney General,,Write-ins,,0,0,0
Forest,Barnett Township,Auditor General,,Nina Ahmad,DEM,43,21,22
Forest,Barnett Township,Auditor General,,Timothy Defoor,REP,164,132,32
Forest,Barnett Township,Auditor General,,Jennifer Moore,LIB,7,6,1
Forest,Barnett Township,Auditor General,,Olivia Faison,GRE,4,3,1
Forest,Barnett Township,Auditor General,,Write-ins,,0,0,0
Forest,Barnett Township,State Treasurer,,Joe Torsella,DEM,49,26,23
Forest,Barnett Township,State Treasurer,,Stacy L. Garrity,REP,162,129,33
Forest,Barnett Township,State Treasurer,,Joe Soloski,LIB,4,4,0
Forest,Barnett Township,State Treasurer,,Timothy Runkle,,3,2,1
Forest,Barnett Township,State Treasurer,,Write-ins,,0,0,0
Forest,Barnett Township,U.S. House,15,Robert Williams,DEM,44,20,24
Forest,Barnett Township,U.S. House,15,Glenn GT Thompson,REP,175,142,33
Forest,Barnett Township,U.S. House,15,Write-ins,,0,0,0
Forest,Barnett Township,State Senate,21,Shelbie L. Stromyer,DEM,47,23,24
Forest,Barnett Township,State Senate,21,Scott E. Hutchinson,REP,173,140,33
Forest,Barnett Township,State Senate,21,Write-ins,,0,0,0
Forest,Barnett Township,State Representative,63,Donna Oberlander,,200,153,47
Forest,Barnett Township,State Representative,63,Write-ins,,9,4,5
Forest,Green Township,Registered Voters,,,,312,,
Forest,Green Township,Ballots Cast,,,,241,165,76
Forest,Green Township,Ballots Cast Blank,,,,0,0,0
Forest,Green Township,President,,Joseph R. Biden,DEM,67,15,52
Forest,Green Township,President,,Donald J. Trump,REP,171,149,22
Forest,Green Township,President,,Jo Jorgensen,LIB,3,1,2
Forest,Green Township,President,,Write-ins,,0,0,0
Forest,Green Township,Attorney General,,Josh Shapiro,DEM,74,21,53
Forest,Green Township,Attorney General,,Heather Heidelbaugh,REP,157,137,20
Forest,Green Township,Attorney General,,Daniel Wassmer,LIB,4,3,1
Forest,Green Township,Attorney General,,Richard L. Weiss,GRE,4,3,1
Forest,Green Township,Attorney General,,Write-ins,,0,0,0
Forest,Green Township,Auditor General,,Nina Ahmad,DEM,56,13,43
Forest,Green Township,Auditor General,,Timothy Defoor,REP,170,143,27
Forest,Green Township,Auditor General,,Jennifer Moore,LIB,7,4,3
Forest,Green Township,Auditor General,,Olivia Faison,GRE,4,3,1
Forest,Green Township,Auditor General,,Write-ins,,0,0,0
Forest,Green Township,State Treasurer,,Joe Torsella,DEM,61,15,46
Forest,Green Township,State Treasurer,,Stacy L. Garrity,REP,166,140,26
Forest,Green Township,State Treasurer,,Joe Soloski,LIB,6,5,1
Forest,Green Township,State Treasurer,,Timothy Runkle,,5,4,1
