candidate,office,district,party,county,precinct,votes,election_day,mail,provisional
Registered Voters,,,,Wayne,Berlin Township #1,940,,,
Ballots Cast,,,,Wayne,Berlin Township #1,743,,,
Joseph R Biden,President,,,Wayne,Berlin Township #1,188,79,108,1
Donald J Trump,President,,,Wayne,Berlin Township #1,541,482,54,5
Jo Jorgensen,President,,,Wayne,Berlin Township #1,5,4,1,0
Write-Ins,President,,,Wayne,Berlin Township #1,2,0,2,0
Over Votes,President,,,Wayne,Berlin Township #1,3,,,
Under Votes,President,,,Wayne,Berlin Township #1,4,,,
Josh Shapiro,Attorney General,,,Wayne,Berlin Township #1,191,84,106,1
Heather Heidelbaugh,Attorney General,,,Wayne,Berlin Township #1,520,463,52,5
Daniel Wassmer,Attorney General,,,Wayne,Berlin Township #1,8,6,2,0
Richard L Weiss,Attorney General,,,Wayne,Berlin Township #1,3,2,1,0
Write-Ins,Attorney General,,,Wayne,Berlin Township #1,0,0,0,0
Over Votes,Attorney General,,,Wayne,Berlin Township #1,2,,,
Under Votes,Attorney General,,,Wayne,Berlin Township #1,19,,,
Nina Ahmad,Auditor General,,,Wayne,Berlin Township #1,167,75,92,0
Timothy Defoor,Auditor General,,,Wayne,Berlin Township #1,521,460,56,5
Jennifer Moore,Auditor General,,,Wayne,Berlin Township #1,23,14,9,0
Olivia Faison,Auditor General,,,Wayne,Berlin Township #1,7,5,2,0
Write-Ins,Auditor General,,,Wayne,Berlin Township #1,0,0,0,0
Over Votes,Auditor General,,,Wayne,Berlin Township #1,2,,,
Under Votes,Auditor General,,,Wayne,Berlin Township #1,23,,,
Joe Torsella,State Treasurer,,,Wayne,Berlin Township #1,167,73,94,0
Stacy L Garrity,State Treasurer,,,Wayne,Berlin Township #1,534,474,55,5
Joe Soloski,State Treasurer,,,Wayne,Berlin Township #1,12,7,5,0
Timothy Runkle,State Treasurer,,,Wayne,Berlin Township #1,8,3,5,0
Write-Ins,State Treasurer,,,Wayne,Berlin Township #1,0,0,0,0
Over Votes,State Treasurer,,,Wayne,Berlin Township #1,2,,,
Under Votes,State Treasurer,,,Wayne,Berlin Township #1,20,,,
Matt Cartwright,U.S. House,8,,Wayne,Berlin Township #1,195,88,106,1
Jim Bognet,U.S. House,8,,Wayne,Berlin Township #1,527,467,55,5
Write-Ins,U.S. House,8,,Wayne,Berlin Township #1,0,0,0,0
Over Votes,U.S. House,8,,Wayne,Berlin Township #1,2,,,
Under Votes,U.S. House,8,,Wayne,Berlin Township #1,19,,,
Marian Keegan,State Representative,139,,Wayne,Berlin Township #1,160,68,92,0
Mike Peifer,State Representative,139,,Wayne,Berlin Township #1,557,483,69,5
Write-Ins,State Representative,139,,Wayne,Berlin Township #1,1,1,0,0
Over Votes,State Representative,139,,Wayne,Berlin Township #1,3,,,
Under Votes,State Representative,139,,Wayne,Berlin Township #1,22,,,
Registered Voters,,,,Wayne,Berlin Township #2,905,,,
Ballots Cast,,,,Wayne,Berlin Township #2,780,,,
Joseph R Biden,President,,,Wayne,Berlin Township #2,176,64,110,2
Donald J Trump,President,,,Wayne,Berlin Township #2,596,481,112,3
Jo Jorgensen,President,,,Wayne,Berlin Township #2,6,4,1,1
Write-Ins,President,,,Wayne,Berlin Township #2,1,1,0,0
Over Votes,President,,,Wayne,Berlin Township #2,0,,,
Under Votes,President,,,Wayne,Berlin Township #2,1,,,
Josh Shapiro,Attorney General,,,Wayne,Berlin Township #2,200,74,123,3
Heather Heidelbaugh,Attorney General,,,Wayne,Berlin Township #2,556,456,97,3
Daniel Wassmer,Attorney General,,,Wayne,Berlin Township #2,5,5,0,0
Richard L Weiss,Attorney General,,,Wayne,Berlin Township #2,3,2,1,0
Write-Ins,Attorney General,,,Wayne,Berlin Township #2,0,0,0,0
Over Votes,Attorney General,,,Wayne,Berlin Township #2,0,,,
Under Votes,Attorney General,,,Wayne,Berlin Township #2,16,,,
Nina Ahmad,Auditor General,,,Wayne,Berlin Township #2,165,59,104,2
Timothy Defoor,Auditor General,,,Wayne,Berlin Township #2,568,460,104,4
Jennifer Moore,Auditor General,,,Wayne,Berlin Township #2,15,10,5,0
