county,precinct,office,district,party,candidate,votes,election_day,mail,provisional,extra
Franklin,Antrim Twp-First Dst,Registered Voters,,,,1882,,,,
Franklin,Antrim Twp-First Dst,Ballots Cast,,,,1573,1199,360,14,0
Franklin,Antrim Twp-First Dst,Ballots Cast Blank,,,,0,0,0,0,0
Franklin,Antrim Twp-First Dst,President,,REP,TRUMP and PENCE,1229,1061,159,9,0
Franklin,Antrim Twp-First Dst,President,,DEM,BIDEN and HARRIS,313,121,188,4,0
Franklin,Antrim Twp-First Dst,President,,LIB,JORGENSEN and COHEN,21,11,10,0,0
Franklin,Antrim Twp-First Dst,President,,,Write-In: Scattered,5,4,1,0,0
Franklin,Antrim Twp-First Dst,President,,,Write-In: West Kanye (All Variants),2,0,1,1,0
Franklin,Antrim Twp-First Dst,President,,,Write-In: Invalid,1,0,1,0,0
Franklin,Antrim Twp-First Dst,President,,,Write-In: Hawkins Howie (All Variants),0,0,0,0,0
Franklin,Antrim Twp-First Dst,President,,,Write-In: Donald Trump,0,0,0,0,0
Franklin,Antrim Twp-First Dst,President,,,Write-In: Carroll Brian (All Variants),0,0,0,0,0
Franklin,Antrim Twp-First Dst,President,,,Write-In: Blank,0,0,0,0,0
Franklin,Antrim Twp-First Dst,President,,,Write-In: Simmons Jade (All Variants),0,0,0,0,0
Franklin,Antrim Twp-First Dst,President,,,Write-In Totals,8,4,3,1,0
Franklin,Antrim Twp-First Dst,President,,,Not Assigned,0,0,0,0,0
Franklin,Antrim Twp-First Dst,President,,,Overvotes,1,1,0,0,0
Franklin,Antrim Twp-First Dst,President,,,Undervotes,1,1,0,0,0
Franklin,Antrim Twp-First Dst,ATTORNEY GENERAL,,REP,HEATHER HEIDELBAUGH,1210,1035,166,9,0
Franklin,Antrim Twp-First Dst,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,296,118,177,1,0
Franklin,Antrim Twp-First Dst,ATTORNEY GENERAL,,LIB,DANIEL WASSMER,21,12,6,3,0
Franklin,Antrim Twp-First Dst,ATTORNEY GENERAL,,GRE,RICHARD L. WEISS,7,4,2,1,0
Franklin,Antrim Twp-First Dst,ATTORNEY GENERAL,,,Write-In: Blank,0,0,0,0,0
Franklin,Antrim Twp-First Dst,ATTORNEY GENERAL,,,Write-In: Scattered,0,0,0,0,0
Franklin,Antrim Twp-First Dst,ATTORNEY GENERAL,,,Write-In: Invalid,0,0,0,0,0
Franklin,Antrim Twp-First Dst,ATTORNEY GENERAL,,,Write-In Totals,0,0,0,0,0
Franklin,Antrim Twp-First Dst,ATTORNEY GENERAL,,,Not Assigned,0,0,0,0,0
Franklin,Antrim Twp-First Dst,ATTORNEY GENERAL,,,Overvotes,1,1,0,0,0
Franklin,Antrim Twp-First Dst,ATTORNEY GENERAL,,,Undervotes,38,29,9,0,0
Franklin,Antrim Twp-First Dst,AUDITOR GENERAL,,REP,TIMOTHY DEFOOR,1214,1032,172,10,0
Franklin,Antrim Twp-First Dst,AUDITOR GENERAL,,DEM,NINA AHMAD,263,93,167,3,0
Franklin,Antrim Twp-First Dst,AUDITOR GENERAL,,LIB,JENNIFER MOORE,46,35,11,0,0
Franklin,Antrim Twp-First Dst,AUDITOR GENERAL,,GRE,OLIVIA FAISON,13,10,2,1,0
Franklin,Antrim Twp-First Dst,AUDITOR GENERAL,,,Write-In: Blank,0,0,0,0,0
Franklin,Antrim Twp-First Dst,AUDITOR GENERAL,,,Write-In: Invalid,0,0,0,0,0
Franklin,Antrim Twp-First Dst,AUDITOR GENERAL,,,Write-In: Scattered,0,0,0,0,0
Franklin,Antrim Twp-First Dst,AUDITOR GENERAL,,,Write-In Totals,0,0,0,0,0
Franklin,Antrim Twp-First Dst,AUDITOR GENERAL,,,Not Assigned,0,0,0,0,0
Franklin,Antrim Twp-First Dst,AUDITOR GENERAL,,,Overvotes,1,1,0,0,0
Franklin,Antrim Twp-First Dst,AUDITOR GENERAL,,,Undervotes,36,28,8,0,0
Franklin,Antrim Twp-First Dst,STATE TREASURER,,REP,STACY L. GARRITY,1227,1047,169,11,0
Franklin,Antrim Twp-First Dst,STATE TREASURER,,DEM,JOE TORSELLA,267,95,170,2,0
Franklin,Antrim Twp-First Dst,STATE TREASURER,,LIB,JOE SOLOSKI,24,16,8,0,0
Franklin,Antrim Twp-First Dst,STATE TREASURER,,GRE,TIMOTHY RUNKLE,17,12,4,1,0
Franklin,Antrim Twp-First Dst,STATE TREASURER,,,Write-In: Blank,0,0,0,0,0
Franklin,Antrim Twp-First Dst,STATE TREASURER,,,Write-In: Invalid,0,0,0,0,0
Franklin,Antrim Twp-First Dst,STATE TREASURER,,,Write-In: Scattered,0,0,0,0,0
Franklin,Antrim Twp-First Dst,STATE TREASURER,,,Write-In Totals,0,0,0,0,0
Franklin,Antrim Twp-First Dst,STATE TREASURER,,,Not Assigned,0,0,0,0,0
Franklin,Antrim Twp-First Dst,STATE TREASURER,,,Overvotes,1,1,0,0,0
Franklin,Antrim Twp-First Dst,STATE TREASURER,,,Undervotes,37,28,9,0,0
Franklin,Antrim Twp-First Dst,U.S. House,13,REP,JOHN JOYCE,1250,1069,172,9,0
Franklin,Antrim Twp-First Dst,U.S. House,13,DEM,TODD ROWLEY,287,102,181,4,0
Franklin,Antrim Twp-First Dst,U.S. House,13,,Write-In: Scattered,3,2,0,1,0
Franklin,Antrim Twp-First Dst,U.S. House,13,,Write-In: Invalid,0,0,0,0,0
Franklin,Antrim Twp-First Dst,U.S. House,13,,Write-In: Blank,0,0,0,0,0
Franklin,Antrim Twp-First Dst,U.S. House,13,,Write-In Totals,3,2,0,1,0
Franklin,Antrim Twp-First Dst,U.S. House,13,,Not Assigned,0,0,0,0,0
Franklin,Antrim Twp-First Dst,U.S. House,13,,Overvotes,1,1,0,0,0
Franklin,Antrim Twp-First Dst,U.S. House,13,,Undervotes,32,25,7,0,0
Franklin,Antrim Twp-First Dst,State House,90,REP,PAUL SCHEMEL,1390,1122,257,11,0
Franklin,Antrim Twp-First Dst,State House,90,,Write-In: Scattered,29,8,20,1,0
Franklin,Antrim Twp-First Dst,State House,90,,Write-In: Invalid,9,4,5,0,0
Franklin,Antrim Twp-First Dst,State House,90,,Write-In: Laura Jeu,6,0,6,0,0
Franklin,Antrim Twp-First Dst,State House,90,,Write-In: Blank,1,0,1,0,0
Franklin,Antrim Twp-First Dst,State House,90,,Write-In Totals,45,12,32,1,0
Franklin,Antrim Twp-First Dst,State House,90,,Not Assigned,0,0,0,0,0
Franklin,Antrim Twp-First Dst,State House,90,,Overvotes,1,1,0,0,0
Franklin,Antrim Twp-First Dst,State House,90,,Undervotes,137,64,71,2,0
Franklin,Antrim Twp-Second Dst,Registered Voters,,,,1273,,,,
Franklin,Antrim Twp-Second Dst,Ballots Cast,,,,1121,929,188,4,0
Franklin,Antrim Twp-Second Dst,Ballots Cast Blank,,,,0,0,0,0,0
Franklin,Antrim Twp-Second Dst,President,,REP,TRUMP and PENCE,927,833,90,4,0
Franklin,Antrim Twp-Second Dst,President,,DEM,BIDEN and HARRIS,181,89,92,0,0
Franklin,Antrim Twp-Second Dst,President,,LIB,JORGENSEN and COHEN,6,5,1,0,0
Franklin,Antrim Twp-Second Dst,President,,,Write-In: Scattered,5,2,3,0,0
Franklin,Antrim Twp-Second Dst,President,,,Write-In: Hawkins Howie (All Variants),1,0,1,0,0
Franklin,Antrim Twp-Second Dst,President,,,Write-In: Donald Trump,0,0,0,0,0
Franklin,Antrim Twp-Second Dst,President,,,Write-In: Carroll Brian (All Variants),0,0,0,0,0
Franklin,Antrim Twp-Second Dst,President,,,Write-In: Blank,0,0,0,0,0
Franklin,Antrim Twp-Second Dst,President,,,Write-In: West Kanye (All Variants),0,0,0,0,0
Franklin,Antrim Twp-Second Dst,President,,,Write-In: Simmons Jade (All Variants),0,0,0,0,0
Franklin,Antrim Twp-Second Dst,President,,,Write-In: Invalid,0,0,0,0,0
Franklin,Antrim Twp-Second Dst,President,,,Write-In Totals,6,2,4,0,0
Franklin,Antrim Twp-Second Dst,President,,,Not Assigned,0,0,0,0,0
Franklin,Antrim Twp-Second Dst,President,,,Overvotes,0,0,0,0,0
Franklin,Antrim Twp-Second Dst,President,,,Undervotes,1,0,1,0,0
Franklin,Antrim Twp-Second Dst,ATTORNEY GENERAL,,REP,HEATHER HEIDELBAUGH,889,794,91,4,0
Franklin,Antrim Twp-Second Dst,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,171,87,84,0,0
Franklin,Antrim Twp-Second Dst,ATTORNEY GENERAL,,LIB,DANIEL WASSMER,19,17,2,0,0
Franklin,Antrim Twp-Second Dst,ATTORNEY GENERAL,,GRE,RICHARD L. WEISS,7,4,3,0,0
Franklin,Antrim Twp-Second Dst,ATTORNEY GENERAL,,,Write-In: Scattered,1,0,1,0,0
Franklin,Antrim Twp-Second Dst,ATTORNEY GENERAL,,,Write-In: Blank,0,0,0,0,0
Franklin,Antrim Twp-Second Dst,ATTORNEY GENERAL,,,Write-In: Invalid,0,0,0,0,0
Franklin,Antrim Twp-Second Dst,ATTORNEY GENERAL,,,Write-In Totals,1,0,1,0,0
Franklin,Antrim Twp-Second Dst,ATTORNEY GENERAL,,,Not Assigned,0,0,0,0,0
Franklin,Antrim Twp-Second Dst,ATTORNEY GENERAL,,,Overvotes,0,0,0,0,0
Franklin,Antrim Twp-Second Dst,ATTORNEY GENERAL,,,Undervotes,34,27,7,0,0
Franklin,Antrim Twp-Second Dst,AUDITOR GENERAL,,REP,TIMOTHY DEFOOR,894,800,90,4,0
Franklin,Antrim Twp-Second Dst,AUDITOR GENERAL,,DEM,NINA AHMAD,153,73,80,0,0
Franklin,Antrim Twp-Second Dst,AUDITOR GENERAL,,LIB,JENNIFER MOORE,26,23,3,0,0
Franklin,Antrim Twp-Second Dst,AUDITOR GENERAL,,GRE,OLIVIA FAISON,5,3,2,0,0
Franklin,Antrim Twp-Second Dst,AUDITOR GENERAL,,,Write-In: Scattered,1,0,1,0,0
Franklin,Antrim Twp-Second Dst,AUDITOR GENERAL,,,Write-In: Blank,0,0,0,0,0
Franklin,Antrim Twp-Second Dst,AUDITOR GENERAL,,,Write-In: Invalid,0,0,0,0,0
Franklin,Antrim Twp-Second Dst,AUDITOR GENERAL,,,Write-In Totals,1,0,1,0,0
Franklin,Antrim Twp-Second Dst,AUDITOR GENERAL,,,Not Assigned,0,0,0,0,0
Franklin,Antrim Twp-Second Dst,AUDITOR GENERAL,,,Overvotes,0,0,0,0,0
Franklin,Antrim Twp-Second Dst,AUDITOR GENERAL,,,Undervotes,42,30,12,0,0
Franklin,Antrim Twp-Second Dst,STATE TREASURER,,REP,STACY L. GARRITY,885,790,91,4,0
Franklin,Antrim Twp-Second Dst,STATE TREASURER,,DEM,JOE TORSELLA,166,86,80,0,0
Franklin,Antrim Twp-Second Dst,STATE TREASURER,,LIB,JOE SOLOSKI,26,23,3,0,0
Franklin,Antrim Twp-Second Dst,STATE TREASURER,,GRE,TIMOTHY RUNKLE,5,1,4,0,0
Franklin,Antrim Twp-Second Dst,STATE TREASURER,,,Write-In: Scattered,1,0,1,0,0
Franklin,Antrim Twp-Second Dst,STATE TREASURER,,,Write-In: Blank,0,0,0,0,0
Franklin,Antrim Twp-Second Dst,STATE TREASURER,,,Write-In: Invalid,0,0,0,0,0
Franklin,Antrim Twp-Second Dst,STATE TREASURER,,,Write-In Totals,1,0,1,0,0
Franklin,Antrim Twp-Second Dst,STATE TREASURER,,,Not Assigned,0,0,0,0,0
Franklin,Antrim Twp-Second Dst,STATE TREASURER,,,Overvotes,0,0,0,0,0
Franklin,Antrim Twp-Second Dst,STATE TREASURER,,,Undervotes,38,29,9,0,0
Franklin,Antrim Twp-Second Dst,U.S. House,13,REP,JOHN JOYCE,923,824,95,4,0
Franklin,Antrim Twp-Second Dst,U.S. House,13,DEM,TODD ROWLEY,170,83,87,0,0
Franklin,Antrim Twp-Second Dst,U.S. House,13,,Write-In: Scattered,1,1,0,0,0
Franklin,Antrim Twp-Second Dst,U.S. House,13,,Write-In: Invalid,0,0,0,0,0
Franklin,Antrim Twp-Second Dst,U.S. House,13,,Write-In: Blank,0,0,0,0,0
Franklin,Antrim Twp-Second Dst,U.S. House,13,,Write-In Totals,1,1,0,0,0
Franklin,Antrim Twp-Second Dst,U.S. House,13,,Not Assigned,0,0,0,0,0
Franklin,Antrim Twp-Second Dst,U.S. House,13,,Overvotes,0,0,0,0,0
Franklin,Antrim Twp-Second Dst,U.S. House,13,,Undervotes,27,21,6,0,0
Franklin,Antrim Twp-Second Dst,State House,90,REP,PAUL SCHEMEL,1007,873,130,4,0
Franklin,Antrim Twp-Second Dst,State House,90,,Write-In: Scattered,12,5,7,0,0
Franklin,Antrim Twp-Second Dst,State House,90,,Write-In: Invalid,4,2,2,0,0
Franklin,Antrim Twp-Second Dst,State House,90,,Write-In: Laura Jeu,2,2,0,0,0
Franklin,Antrim Twp-Second Dst,State House,90,,Write-In: Blank,1,0,1,0,0
Franklin,Antrim Twp-Second Dst,State House,90,,Write-In Totals,19,9,10,0,0
Franklin,Antrim Twp-Second Dst,State House,90,,Not Assigned,0,0,0,0,0
Franklin,Antrim Twp-Second Dst,State House,90,,Overvotes,0,0,0,0,0
Franklin,Antrim Twp-Second Dst,State House,90,,Undervotes,95,47,48,0,0
Franklin,Antrim Twp-Third Dst,Registered Voters,,,,1474,,,,
Franklin,Antrim Twp-Third Dst,Ballots Cast,,,,1265,1038,218,9,0
Franklin,Antrim Twp-Third Dst,Ballots Cast Blank,,,,0,0,0,0,0
Franklin,Antrim Twp-Third Dst,President,,REP,TRUMP and PENCE,1018,905,107,6,0
Franklin,Antrim Twp-Third Dst,President,,DEM,BIDEN and HARRIS,227,114,111,2,0
Franklin,Antrim Twp-Third Dst,President,,LIB,JORGENSEN and COHEN,18,17,0,1,0
Franklin,Antrim Twp-Third Dst,President,,,Write-In: Hawkins Howie (All Variants),2,2,0,0,0
Franklin,Antrim Twp-Third Dst,President,,,Write-In: Donald Trump,0,0,0,0,0
Franklin,Antrim Twp-Third Dst,President,,,Write-In: Scattered,0,0,0,0,0
Franklin,Antrim Twp-Third Dst,President,,,Write-In: Carroll Brian (All Variants),0,0,0,0,0
Franklin,Antrim Twp-Third Dst,President,,,Write-In: Blank,0,0,0,0,0
Franklin,Antrim Twp-Third Dst,President,,,Write-In: West Kanye (All Variants),0,0,0,0,0
Franklin,Antrim Twp-Third Dst,President,,,Write-In: Simmons Jade (All Variants),0,0,0,0,0
Franklin,Antrim Twp-Third Dst,President,,,Write-In: Invalid,0,0,0,0,0
Franklin,Antrim Twp-Third Dst,President,,,Write-In Totals,2,2,0,0,0
Franklin,Antrim Twp-Third Dst,President,,,Not Assigned,0,0,0,0,0
Franklin,Antrim Twp-Third Dst,President,,,Overvotes,0,0,0,0,0
Franklin,Antrim Twp-Third Dst,President,,,Undervotes,0,0,0,0,0
Franklin,Antrim Twp-Third Dst,ATTORNEY GENERAL,,REP,HEATHER HEIDELBAUGH,995,877,113,5,0
Franklin,Antrim Twp-Third Dst,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,210,116,91,3,0
Franklin,Antrim Twp-Third Dst,ATTORNEY GENERAL,,LIB,DANIEL WASSMER,29,23,6,0,0
Franklin,Antrim Twp-Third Dst,ATTORNEY GENERAL,,GRE,RICHARD L. WEISS,8,5,2,1,0
