county,precinct,office,district,party,candidate,election_day,absentee,provisional,votes
Northampton,ALLEN TWSP NORTHERN,Registered Voters,,,,,,,1822
Northampton,ALLEN TWSP NORTHERN,Registered Voters,,DEM,,,,,732
Northampton,ALLEN TWSP NORTHERN,Registered Voters,,REP,,,,,819
Northampton,ALLEN TWSP NORTHERN,Registered Voters,,NPA,,,,,271
Northampton,ALLEN TWSP NORTHERN,Ballots Cast,,,,266,444,8,718
Northampton,ALLEN TWSP NORTHERN,Ballots Cast,,DEM,,60,283,3,346
Northampton,ALLEN TWSP NORTHERN,Ballots Cast,,REP,,206,161,5,372
Northampton,ALLEN TWSP NORTHERN,Ballots Cast,,NPA,,0,0,0,0
Northampton,ALLEN TWSP NORTHERN,President,,DEM,Joseph R. Biden,35,224,2,261
Northampton,ALLEN TWSP NORTHERN,President,,DEM,Bernie Sanders,13,39,1,53
Northampton,ALLEN TWSP NORTHERN,President,,DEM,Tulsi Gabbard,5,11,0,16
Northampton,ALLEN TWSP NORTHERN,President,,DEM,Write-in,4,1,0,5
Northampton,ALLEN TWSP NORTHERN,Attorney General,,DEM,Josh Shapiro,42,259,3,304
Northampton,ALLEN TWSP NORTHERN,Attorney General,,DEM,Write-in,0,2,0,2
Northampton,ALLEN TWSP NORTHERN,Auditor General,,DEM,Christina M. Hartman,14,69,1,84
Northampton,ALLEN TWSP NORTHERN,Auditor General,,DEM,Nina Ahmad,15,68,0,83
Northampton,ALLEN TWSP NORTHERN,Auditor General,,DEM,Michael Lamb,7,29,0,36
Northampton,ALLEN TWSP NORTHERN,Auditor General,,DEM,Rose Rosie Marie Davis,4,30,0,34
Northampton,ALLEN TWSP NORTHERN,Auditor General,,DEM,H Scott Conklin,9,11,0,20
Northampton,ALLEN TWSP NORTHERN,Auditor General,,DEM,Tracie Fountain,0,16,0,16
Northampton,ALLEN TWSP NORTHERN,Auditor General,,DEM,Write-in,0,0,0,0
Northampton,ALLEN TWSP NORTHERN,State Treasurer,,DEM,Joe Torsella,39,255,2,296
Northampton,ALLEN TWSP NORTHERN,State Treasurer,,DEM,Write-in,0,1,0,1
Northampton,ALLEN TWSP NORTHERN,U.S. House,7,DEM,Susan Wild,47,270,2,319
Northampton,ALLEN TWSP NORTHERN,U.S. House,7,DEM,Write-in,0,4,0,4
Northampton,ALLEN TWSP NORTHERN,General Assembly,183,DEM,Jason Ruff,43,261,3,307
Northampton,ALLEN TWSP NORTHERN,General Assembly,183,DEM,Write-in,0,3,0,3
Northampton,ALLEN TWSP NORTHERN,President,,REP,Donald J Trump,197,142,5,344
Northampton,ALLEN TWSP NORTHERN,President,,REP,Bill Weld,4,10,0,14
Northampton,ALLEN TWSP NORTHERN,President,,REP,Roque Rocky De La Fuente,1,3,0,4
Northampton,ALLEN TWSP NORTHERN,President,,REP,Write-in,0,3,0,3
Northampton,ALLEN TWSP NORTHERN,Attorney General,,REP,Heather Heidelbaugh,177,132,4,313
Northampton,ALLEN TWSP NORTHERN,Attorney General,,REP,Write-in,0,0,0,0
Northampton,ALLEN TWSP NORTHERN,Auditor General,,REP,Timothy Defoor,175,124,4,303
Northampton,ALLEN TWSP NORTHERN,Auditor General,,REP,Write-in,0,0,0,0
Northampton,ALLEN TWSP NORTHERN,State Treasurer,,REP,Stacy L. Garrity,178,125,4,307
Northampton,ALLEN TWSP NORTHERN,State Treasurer,,REP,Write-in,0,1,0,1
