county,party,office,district,candidate,precinct,votes
Pike,REP,President,,Donald J. Trump,PALMYRA TWP,465
Pike,REP,President,,Roque Rocky De La Fuente,PALMYRA TWP,6
Pike,REP,President,,Bill Weld,PALMYRA TWP,28
Pike,REP,President,,Donald J. Trump,PORTER TWP,57
Pike,REP,President,,Roque Rocky De La Fuente,PORTER TWP,1
Pike,REP,President,,Bill Weld,PORTER TWP,1
Pike,REP,President,,Donald J. Trump,SHOHOLA TWP,282
Pike,REP,President,,Roque Rocky De La Fuente,SHOHOLA TWP,1
Pike,REP,President,,Bill Weld,SHOHOLA TWP,15
Pike,REP,President,,Donald J. Trump,WESTFALL TWP,247
Pike,REP,President,,Roque Rocky De La Fuente,WESTFALL TWP,0
Pike,REP,President,,Bill Weld,WESTFALL TWP,12
Pike,REP,Attorney General,,Heather Heidelbaugh,BLOOMING GROVE TWP,405
Pike,REP,Attorney General,,Heather Heidelbaugh,DELAWARE TWP #1,277
Pike,REP,Attorney General,,Heather Heidelbaugh,DELAWARE TWP #2,267
Pike,REP,Attorney General,,Heather Heidelbaugh,DINGMAN TWP #1,502
Pike,REP,Attorney General,,Heather Heidelbaugh,DINGMAN TWP #2,442
Pike,REP,Attorney General,,Heather Heidelbaugh,GREENE TWP,411
Pike,REP,Attorney General,,Heather Heidelbaugh,LACKAWAXEN TWP #1,256
Pike,REP,Attorney General,,Heather Heidelbaugh,LACKAWAXEN TWP #2,312
Pike,REP,Attorney General,,Heather Heidelbaugh,LEHMAN TWP #1,220
Pike,REP,Attorney General,,Heather Heidelbaugh,LEHMAN TWP #2,201
Pike,REP,Attorney General,,Heather Heidelbaugh,MATAMORAS BORO # 1,87
Pike,REP,Attorney General,,Heather Heidelbaugh,MATAMORAS BORO # 2,88
Pike,REP,Attorney General,,Heather Heidelbaugh,MILFORD BORO,89
Pike,REP,Attorney General,,Heather Heidelbaugh,MILFORD TWP,163
Pike,REP,Attorney General,,Heather Heidelbaugh,PALMYRA TWP,452
Pike,REP,Attorney General,,Heather Heidelbaugh,PORTER TWP,51
Pike,REP,Attorney General,,Heather Heidelbaugh,SHOHOLA TWP,239
Pike,REP,Attorney General,,Heather Heidelbaugh,WESTFALL TWP,229
Pike,REP,Auditor General,,Timothy DeFoor,BLOOMING GROVE TWP,412
Pike,REP,Auditor General,,Timothy DeFoor,DELAWARE TWP #1,278
Pike,REP,Auditor General,,Timothy DeFoor,DELAWARE TWP #2,278
Pike,REP,Auditor General,,Timothy DeFoor,DINGMAN TWP #1,504
Pike,REP,Auditor General,,Timothy DeFoor,DINGMAN TWP #2,444
Pike,REP,Auditor General,,Timothy DeFoor,GREENE TWP,410
Pike,REP,Auditor General,,Timothy DeFoor,LACKAWAXEN TWP #1,246
Pike,REP,Auditor General,,Timothy DeFoor,LACKAWAXEN TWP #2,306
Pike,REP,Auditor General,,Timothy DeFoor,LEHMAN TWP #1,222
Pike,REP,Auditor General,,Timothy DeFoor,LEHMAN TWP #2,202
Pike,REP,Auditor General,,Timothy DeFoor,MATAMORAS BORO # 1,87
Pike,REP,Auditor General,,Timothy DeFoor,MATAMORAS BORO # 2,89
Pike,REP,Auditor General,,Timothy DeFoor,MILFORD BORO,92
Pike,REP,Auditor General,,Timothy DeFoor,MILFORD TWP,165
Pike,REP,Auditor General,,Timothy DeFoor,PALMYRA TWP,452
Pike,REP,Auditor General,,Timothy DeFoor,PORTER TWP,51
Pike,REP,Auditor General,,Timothy DeFoor,SHOHOLA TWP,246
Pike,REP,Auditor General,,Timothy DeFoor,WESTFALL TWP,229
Pike,REP,State Treasurer,,Stacy L. Garrity,BLOOMING GROVE TWP,405
Pike,REP,State Treasurer,,Stacy L. Garrity,DELAWARE TWP #1,279
Pike,REP,State Treasurer,,Stacy L. Garrity,DELAWARE TWP #2,276
Pike,REP,State Treasurer,,Stacy L. Garrity,DINGMAN TWP #1,501
Pike,REP,State Treasurer,,Stacy L. Garrity,DINGMAN TWP #2,437
Pike,REP,State Treasurer,,Stacy L. Garrity,GREENE TWP,401
Pike,REP,State Treasurer,,Stacy L. Garrity,LACKAWAXEN TWP #1,247
Pike,REP,State Treasurer,,Stacy L. Garrity,LACKAWAXEN TWP #2,306
Pike,REP,State Treasurer,,Stacy L. Garrity,LEHMAN TWP #1,221
Pike,REP,State Treasurer,,Stacy L. Garrity,LEHMAN TWP #2,201
Pike,REP,State Treasurer,,Stacy L. Garrity,MATAMORAS BORO # 1,85
Pike,REP,State Treasurer,,Stacy L. Garrity,MATAMORAS BORO # 2,88
Pike,REP,State Treasurer,,Stacy L. Garrity,MILFORD BORO,91
Pike,REP,State Treasurer,,Stacy L. Garrity,MILFORD TWP,170
Pike,REP,State Treasurer,,Stacy L. Garrity,PALMYRA TWP,453
Pike,REP,State Treasurer,,Stacy L. Garrity,PORTER TWP,51
Pike,REP,State Treasurer,,Stacy L. Garrity,SHOHOLA TWP,244
Pike,REP,State Treasurer,,Stacy L. Garrity,WESTFALL TWP,225
Pike,REP,U.S. House,8,Harry Haas,BLOOMING GROVE TWP,38
Pike,REP,U.S. House,8,Teddy Daniels,BLOOMING GROVE TWP,103
Pike,REP,U.S. House,8,Jim Bognet,BLOOMING GROVE TWP,136
Pike,REP,U.S. House,8,Mike Cammisa,BLOOMING GROVE TWP,10
Pike,REP,U.S. House,8,Mike Marsicano,BLOOMING GROVE TWP,74
Pike,REP,U.S. House,8,Earl Granville,BLOOMING GROVE TWP,93
Pike,REP,U.S. House,8,Harry Haas,DELAWARE TWP #1,23
Pike,REP,U.S. House,8,Teddy Daniels,DELAWARE TWP #1,145
Pike,REP,U.S. House,8,Jim Bognet,DELAWARE TWP #1,66
Pike,REP,U.S. House,8,Mike Cammisa,DELAWARE TWP #1,8
Pike,REP,U.S. House,8,Mike Marsicano,DELAWARE TWP #1,30
Pike,REP,U.S. House,8,Earl Granville,DELAWARE TWP #1,46
Pike,REP,U.S. House,8,Harry Haas,DELAWARE TWP #2,29
Pike,REP,U.S. House,8,Teddy Daniels,DELAWARE TWP #2,121
Pike,REP,U.S. House,8,Jim Bognet,DELAWARE TWP #2,66
Pike,REP,U.S. House,8,Mike Cammisa,DELAWARE TWP #2,2
Pike,REP,U.S. House,8,Mike Marsicano,DELAWARE TWP #2,31
Pike,REP,U.S. House,8,Earl Granville,DELAWARE TWP #2,46
Pike,REP,U.S. House,8,Harry Haas,DINGMAN TWP #1,32
Pike,REP,U.S. House,8,Teddy Daniels,DINGMAN TWP #1,193
Pike,REP,U.S. House,8,Jim Bognet,DINGMAN TWP #1,137
Pike,REP,U.S. House,8,Mike Cammisa,DINGMAN TWP #1,42
Pike,REP,U.S. House,8,Mike Marsicano,DINGMAN TWP #1,74
Pike,REP,U.S. House,8,Earl Granville,DINGMAN TWP #1,86
Pike,REP,U.S. House,8,Harry Haas,DINGMAN TWP #2,25
Pike,REP,U.S. House,8,Teddy Daniels,DINGMAN TWP #2,182
Pike,REP,U.S. House,8,Jim Bognet,DINGMAN TWP #2,99
Pike,REP,U.S. House,8,Mike Cammisa,DINGMAN TWP #2,21
Pike,REP,U.S. House,8,Mike Marsicano,DINGMAN TWP #2,81
Pike,REP,U.S. House,8,Earl Granville,DINGMAN TWP #2,68
Pike,REP,U.S. House,8,Harry Haas,GREENE TWP,31
Pike,REP,U.S. House,8,Teddy Daniels,GREENE TWP,143
Pike,REP,U.S. House,8,Jim Bognet,GREENE TWP,146
Pike,REP,U.S. House,8,Mike Cammisa,GREENE TWP,6
Pike,REP,U.S. House,8,Mike Marsicano,GREENE TWP,66
Pike,REP,U.S. House,8,Earl Granville,GREENE TWP,74
Pike,REP,U.S. House,8,Harry Haas,LACKAWAXEN TWP #1,12
Pike,REP,U.S. House,8,Teddy Daniels,LACKAWAXEN TWP #1,73
Pike,REP,U.S. House,8,Jim Bognet,LACKAWAXEN TWP #1,88
Pike,REP,U.S. House,8,Mike Cammisa,LACKAWAXEN TWP #1,6
Pike,REP,U.S. House,8,Mike Marsicano,LACKAWAXEN TWP #1,50
Pike,REP,U.S. House,8,Earl Granville,LACKAWAXEN TWP #1,57
Pike,REP,U.S. House,8,Harry Haas,LACKAWAXEN TWP #2,20
Pike,REP,U.S. House,8,Teddy Daniels,LACKAWAXEN TWP #2,126
Pike,REP,U.S. House,8,Jim Bognet,LACKAWAXEN TWP #2,67
Pike,REP,U.S. House,8,Mike Cammisa,LACKAWAXEN TWP #2,9
Pike,REP,U.S. House,8,Mike Marsicano,LACKAWAXEN TWP #2,52
Pike,REP,U.S. House,8,Earl Granville,LACKAWAXEN TWP #2,85
Pike,REP,U.S. House,8,Harry Haas,LEHMAN TWP #1,18
Pike,REP,U.S. House,8,Teddy Daniels,LEHMAN TWP #1,55
Pike,REP,U.S. House,8,Jim Bognet,LEHMAN TWP #1,58
Pike,REP,U.S. House,8,Mike Cammisa,LEHMAN TWP #1,10
Pike,REP,U.S. House,8,Mike Marsicano,LEHMAN TWP #1,44
Pike,REP,U.S. House,8,Earl Granville,LEHMAN TWP #1,57
Pike,REP,U.S. House,8,Harry Haas,LEHMAN TWP #2,16
Pike,REP,U.S. House,8,Teddy Daniels,LEHMAN TWP #2,55
Pike,REP,U.S. House,8,Jim Bognet,LEHMAN TWP #2,66
Pike,REP,U.S. House,8,Mike Cammisa,LEHMAN TWP #2,6
Pike,REP,U.S. House,8,Mike Marsicano,LEHMAN TWP #2,32
Pike,REP,U.S. House,8,Earl Granville,LEHMAN TWP #2,34
Pike,REP,U.S. House,8,Harry Haas,MATAMORAS BORO # 1,30
Pike,REP,U.S. House,8,Teddy Daniels,MATAMORAS BORO # 1,20
Pike,REP,U.S. House,8,Jim Bognet,MATAMORAS BORO # 1,12
Pike,REP,U.S. House,8,Mike Cammisa,MATAMORAS BORO # 1,6
Pike,REP,U.S. House,8,Mike Marsicano,MATAMORAS BORO # 1,5
Pike,REP,U.S. House,8,Earl Granville,MATAMORAS BORO # 1,20
Pike,REP,U.S. House,8,Harry Haas,MATAMORAS BORO # 2,29
Pike,REP,U.S. House,8,Teddy Daniels,MATAMORAS BORO # 2,34
Pike,REP,U.S. House,8,Jim Bognet,MATAMORAS BORO # 2,11
Pike,REP,U.S. House,8,Mike Cammisa,MATAMORAS BORO # 2,3
Pike,REP,U.S. House,8,Mike Marsicano,MATAMORAS BORO # 2,10
Pike,REP,U.S. House,8,Earl Granville,MATAMORAS BORO # 2,15
Pike,REP,U.S. House,8,Harry Haas,MILFORD BORO,14
Pike,REP,U.S. House,8,Teddy Daniels,MILFORD BORO,30
Pike,REP,U.S. House,8,Jim Bognet,MILFORD BORO,34
Pike,REP,U.S. House,8,Mike Cammisa,MILFORD BORO,1
Pike,REP,U.S. House,8,Mike Marsicano,MILFORD BORO,10
Pike,REP,U.S. House,8,Earl Granville,MILFORD BORO,14
Pike,REP,U.S. House,8,Harry Haas,MILFORD TWP,22
Pike,REP,U.S. House,8,Teddy Daniels,MILFORD TWP,52
Pike,REP,U.S. House,8,Jim Bognet,MILFORD TWP,64
Pike,REP,U.S. House,8,Mike Cammisa,MILFORD TWP,5
Pike,REP,U.S. House,8,Mike Marsicano,MILFORD TWP,14
Pike,REP,U.S. House,8,Earl Granville,MILFORD TWP,32
Pike,REP,U.S. House,8,Harry Haas,PALMYRA TWP,30
Pike,REP,U.S. House,8,Teddy Daniels,PALMYRA TWP,115
Pike,REP,U.S. House,8,Jim Bognet,PALMYRA TWP,145
Pike,REP,U.S. House,8,Mike Cammisa,PALMYRA TWP,11
Pike,REP,U.S. House,8,Mike Marsicano,PALMYRA TWP,70
Pike,REP,U.S. House,8,Earl Granville,PALMYRA TWP,110
Pike,REP,U.S. House,8,Harry Haas,PORTER TWP,6
Pike,REP,U.S. House,8,Teddy Daniels,PORTER TWP,13
Pike,REP,U.S. House,8,Jim Bognet,PORTER TWP,21
Pike,REP,U.S. House,8,Mike Cammisa,PORTER TWP,2
Pike,REP,U.S. House,8,Mike Marsicano,PORTER TWP,6
Pike,REP,U.S. House,8,Earl Granville,PORTER TWP,7
Pike,REP,U.S. House,8,Harry Haas,SHOHOLA TWP,11
Pike,REP,U.S. House,8,Teddy Daniels,SHOHOLA TWP,95
Pike,REP,U.S. House,8,Jim Bognet,SHOHOLA TWP,84
Pike,REP,U.S. House,8,Mike Cammisa,SHOHOLA TWP,4
Pike,REP,U.S. House,8,Mike Marsicano,SHOHOLA TWP,46
Pike,REP,U.S. House,8,Earl Granville,SHOHOLA TWP,46
Pike,REP,U.S. House,8,Harry Haas,WESTFALL TWP,20
Pike,REP,U.S. House,8,Teddy Daniels,WESTFALL TWP,83
Pike,REP,U.S. House,8,Jim Bognet,WESTFALL TWP,49
Pike,REP,U.S. House,8,Mike Cammisa,WESTFALL TWP,6
Pike,REP,U.S. House,8,Mike Marsicano,WESTFALL TWP,31
Pike,REP,U.S. House,8,Earl Granville,WESTFALL TWP,56
Pike,REP,General Assembly,139,Mike Peifer,BLOOMING GROVE TWP,468
Pike,REP,General Assembly,139,Mike Peifer,DINGMAN TWP #1,567
Pike,REP,General Assembly,139,Mike Peifer,DINGMAN TWP #2,484
Pike,REP,General Assembly,139,Mike Peifer,GREENE TWP,454
Pike,REP,General Assembly,139,Mike Peifer,LACKAWAXEN TWP #1,289
Pike,REP,General Assembly,139,Mike Peifer,LACKAWAXEN TWP #2,361
Pike,REP,General Assembly,139,Mike Peifer,MATAMORAS BORO # 1,94
Pike,REP,General Assembly,139,Mike Peifer,MATAMORAS BORO # 2,102
Pike,REP,General Assembly,139,Mike Peifer,MILFORD BORO,97
Pike,REP,General Assembly,139,Mike Peifer,MILFORD TWP,185
Pike,REP,General Assembly,139,Mike Peifer,PALMYRA TWP,488
Pike,REP,General Assembly,139,Mike Peifer,SHOHOLA TWP,273
Pike,REP,General Assembly,139,Mike Peifer,WESTFALL TWP,245
Pike,REP,General Assembly,189,Rosemary Brown,DELAWARE TWP #1,313
Pike,REP,General Assembly,189,Rosemary Brown,DELAWARE TWP #2,301
Pike,REP,General Assembly,189,Rosemary Brown,LEHMAN TWP #1,259
Pike,REP,General Assembly,189,Rosemary Brown,LEHMAN TWP #2,228
Pike,REP,General Assembly,189,Rosemary Brown,PORTER TWP,56
Pike,REP,R - DELEGATE NATL CONVENTION,,Dolores Strish,BLOOMING GROVE TWP,106
Pike,REP,R - DELEGATE NATL CONVENTION,,James Paul Hutchison,BLOOMING GROVE TWP,138
Pike,REP,R - DELEGATE NATL CONVENTION,,Annmarie Tyler,BLOOMING GROVE TWP,154
Pike,REP,R - DELEGATE NATL CONVENTION,,T. Lynette Villano,BLOOMING GROVE TWP,84
Pike,REP,R - DELEGATE NATL CONVENTION,,Doug Miller,BLOOMING GROVE TWP,143
Pike,REP,R - DELEGATE NATL CONVENTION,,John Wells,BLOOMING GROVE TWP,123
Pike,REP,R - DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",BLOOMING GROVE TWP,85
Pike,REP,R - DELEGATE NATL CONVENTION,,Paul Defabo,BLOOMING GROVE TWP,119
Pike,REP,R - DELEGATE NATL CONVENTION,,Josephine Ferro,BLOOMING GROVE TWP,153
Pike,REP,R - DELEGATE NATL CONVENTION,,Dolores Strish,DELAWARE TWP #1,55
Pike,REP,R - DELEGATE NATL CONVENTION,,James Paul Hutchison,DELAWARE TWP #1,96
Pike,REP,R - DELEGATE NATL CONVENTION,,Annmarie Tyler,DELAWARE TWP #1,90
Pike,REP,R - DELEGATE NATL CONVENTION,,T. Lynette Villano,DELAWARE TWP #1,49
Pike,REP,R - DELEGATE NATL CONVENTION,,Doug Miller,DELAWARE TWP #1,91
Pike,REP,R - DELEGATE NATL CONVENTION,,John Wells,DELAWARE TWP #1,118
Pike,REP,R - DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",DELAWARE TWP #1,35
Pike,REP,R - DELEGATE NATL CONVENTION,,Paul Defabo,DELAWARE TWP #1,40
Pike,REP,R - DELEGATE NATL CONVENTION,,Josephine Ferro,DELAWARE TWP #1,83
Pike,REP,R - DELEGATE NATL CONVENTION,,Dolores Strish,DELAWARE TWP #2,59
Pike,REP,R - DELEGATE NATL CONVENTION,,James Paul Hutchison,DELAWARE TWP #2,92
Pike,REP,R - DELEGATE NATL CONVENTION,,Annmarie Tyler,DELAWARE TWP #2,78
Pike,REP,R - DELEGATE NATL CONVENTION,,T. Lynette Villano,DELAWARE TWP #2,45
Pike,REP,R - DELEGATE NATL CONVENTION,,Doug Miller,DELAWARE TWP #2,103
Pike,REP,R - DELEGATE NATL CONVENTION,,John Wells,DELAWARE TWP #2,93
Pike,REP,R - DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",DELAWARE TWP #2,63
Pike,REP,R - DELEGATE NATL CONVENTION,,Paul Defabo,DELAWARE TWP #2,51
Pike,REP,R - DELEGATE NATL CONVENTION,,Josephine Ferro,DELAWARE TWP #2,76
Pike,REP,R - DELEGATE NATL CONVENTION,,Dolores Strish,DINGMAN TWP #1,137
Pike,REP,R - DELEGATE NATL CONVENTION,,James Paul Hutchison,DINGMAN TWP #1,178
Pike,REP,R - DELEGATE NATL CONVENTION,,Annmarie Tyler,DINGMAN TWP #1,169
Pike,REP,R - DELEGATE NATL CONVENTION,,T. Lynette Villano,DINGMAN TWP #1,80
Pike,REP,R - DELEGATE NATL CONVENTION,,Doug Miller,DINGMAN TWP #1,205
Pike,REP,R - DELEGATE NATL CONVENTION,,John Wells,DINGMAN TWP #1,173
Pike,REP,R - DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",DINGMAN TWP #1,98
Pike,REP,R - DELEGATE NATL CONVENTION,,Paul Defabo,DINGMAN TWP #1,95
Pike,REP,R - DELEGATE NATL CONVENTION,,Josephine Ferro,DINGMAN TWP #1,152
Pike,REP,R - DELEGATE NATL CONVENTION,,Dolores Strish,DINGMAN TWP #2,97
Pike,REP,R - DELEGATE NATL CONVENTION,,James Paul Hutchison,DINGMAN TWP #2,166
Pike,REP,R - DELEGATE NATL CONVENTION,,Annmarie Tyler,DINGMAN TWP #2,141
Pike,REP,R - DELEGATE NATL CONVENTION,,T. Lynette Villano,DINGMAN TWP #2,74
Pike,REP,R - DELEGATE NATL CONVENTION,,Doug Miller,DINGMAN TWP #2,163
Pike,REP,R - DELEGATE NATL CONVENTION,,John Wells,DINGMAN TWP #2,135
Pike,REP,R - DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",DINGMAN TWP #2,96
Pike,REP,R - DELEGATE NATL CONVENTION,,Paul Defabo,DINGMAN TWP #2,82
Pike,REP,R - DELEGATE NATL CONVENTION,,Josephine Ferro,DINGMAN TWP #2,112
Pike,REP,R - DELEGATE NATL CONVENTION,,Dolores Strish,GREENE TWP,92
Pike,REP,R - DELEGATE NATL CONVENTION,,James Paul Hutchison,GREENE TWP,143
Pike,REP,R - DELEGATE NATL CONVENTION,,Annmarie Tyler,GREENE TWP,120
Pike,REP,R - DELEGATE NATL CONVENTION,,T. Lynette Villano,GREENE TWP,60
Pike,REP,R - DELEGATE NATL CONVENTION,,Doug Miller,GREENE TWP,142
Pike,REP,R - DELEGATE NATL CONVENTION,,John Wells,GREENE TWP,97
Pike,REP,R - DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",GREENE TWP,82
Pike,REP,R - DELEGATE NATL CONVENTION,,Paul Defabo,GREENE TWP,102
Pike,REP,R - DELEGATE NATL CONVENTION,,Josephine Ferro,GREENE TWP,118
Pike,REP,R - DELEGATE NATL CONVENTION,,Dolores Strish,LACKAWAXEN TWP #1,49
Pike,REP,R - DELEGATE NATL CONVENTION,,James Paul Hutchison,LACKAWAXEN TWP #1,86
Pike,REP,R - DELEGATE NATL CONVENTION,,Annmarie Tyler,LACKAWAXEN TWP #1,65
Pike,REP,R - DELEGATE NATL CONVENTION,,T. Lynette Villano,LACKAWAXEN TWP #1,41
Pike,REP,R - DELEGATE NATL CONVENTION,,Doug Miller,LACKAWAXEN TWP #1,95
Pike,REP,R - DELEGATE NATL CONVENTION,,John Wells,LACKAWAXEN TWP #1,71
Pike,REP,R - DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",LACKAWAXEN TWP #1,47
Pike,REP,R - DELEGATE NATL CONVENTION,,Paul Defabo,LACKAWAXEN TWP #1,72
Pike,REP,R - DELEGATE NATL CONVENTION,,Josephine Ferro,LACKAWAXEN TWP #1,68
Pike,REP,R - DELEGATE NATL CONVENTION,,Dolores Strish,LACKAWAXEN TWP #2,97
Pike,REP,R - DELEGATE NATL CONVENTION,,James Paul Hutchison,LACKAWAXEN TWP #2,102
Pike,REP,R - DELEGATE NATL CONVENTION,,Annmarie Tyler,LACKAWAXEN TWP #2,92
Pike,REP,R - DELEGATE NATL CONVENTION,,T. Lynette Villano,LACKAWAXEN TWP #2,45
Pike,REP,R - DELEGATE NATL CONVENTION,,Doug Miller,LACKAWAXEN TWP #2,132
Pike,REP,R - DELEGATE NATL CONVENTION,,John Wells,LACKAWAXEN TWP #2,79
Pike,REP,R - DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",LACKAWAXEN TWP #2,47
Pike,REP,R - DELEGATE NATL CONVENTION,,Paul Defabo,LACKAWAXEN TWP #2,95
