county,precinct,office,district,party,candidate,votes,election_day,mail,provisional,federal
Centre,1-BELLEFONTE NORTH,Registered Voters,,,,547,,,,
Centre,1-BELLEFONTE NORTH,Ballots Cast,,,,443,279,163,1,0
Centre,1-BELLEFONTE NORTH,Ballots Cast - Blank,,,,0,0,0,0,0
Centre,1-BELLEFONTE NORTH,President,,DEM,Joseph R. Biden,248,117,131,0,0
Centre,1-BELLEFONTE NORTH,President,,REP,Donald J. Trump,180,153,26,1,0
Centre,1-BELLEFONTE NORTH,President,,LIB,Jo Jorgensen,9,7,2,0,0
Centre,1-BELLEFONTE NORTH,President,,,Write-ins,4,1,3,0,0
Centre,1-BELLEFONTE NORTH,President,,,Write-In: Andrew Yang & variations,0,0,0,0,0
Centre,1-BELLEFONTE NORTH,President,,,Write-In: Brian Carroll & variations,1,0,1,0,0
Centre,1-BELLEFONTE NORTH,President,,,Write-In: Jade Simmons & variations,0,0,0,0,0
Centre,1-BELLEFONTE NORTH,President,,,Write-In: Scattered,2,1,1,0,0
Centre,1-BELLEFONTE NORTH,President,,,Write-In: Bernie Sanders & variations,1,0,1,0,0
Centre,1-BELLEFONTE NORTH,President,,,Write-In: Howie Hawkins & variations,0,0,0,0,0
Centre,1-BELLEFONTE NORTH,President,,,Not Assigned,0,0,0,0,0
Centre,1-BELLEFONTE NORTH,President,,,Over Votes,0,0,0,0,0
Centre,1-BELLEFONTE NORTH,President,,,Under Votes,2,1,1,0,0
Centre,1-BELLEFONTE NORTH,ATTORNEY GENERAL,,DEM,JOSH SHAPIRO,246,120,126,0,0
Centre,1-BELLEFONTE NORTH,ATTORNEY GENERAL,,REP,HEATHER HEIDELBAUGH,172,148,23,1,0
Centre,1-BELLEFONTE NORTH,ATTORNEY GENERAL,,LIB,DANIEL WASSMER,12,5,7,0,0
Centre,1-BELLEFONTE NORTH,ATTORNEY GENERAL,,GRN,RICHARD L WEISS,7,3,4,0,0
Centre,1-BELLEFONTE NORTH,ATTORNEY GENERAL,,,Write-ins,1,1,0,0,0
Centre,1-BELLEFONTE NORTH,ATTORNEY GENERAL,,,Not Assigned,1,1,0,0,0
