county,precinct,office,district,party,candidate,election_day,mail_in,absentee,provisional,votes
Lackawanna,Waverly Township W-00 P-00,Registered Voters,,,,,,,,1321
Lackawanna,Waverly Township W-00 P-00,Registered Voters,,DEM,,,,,,715
Lackawanna,Waverly Township W-00 P-00,Registered Voters,,REP,,,,,,606
Lackawanna,Waverly Township W-00 P-00,Registered Voters,,NPA,,,,,,0
Lackawanna,Waverly Township W-00 P-00,Ballots Cast,,,,228,266,86,9,589
Lackawanna,Waverly Township W-00 P-00,Ballots Cast,,DEM,,102,206,59,6,373
Lackawanna,Waverly Township W-00 P-00,Ballots Cast,,REP,,126,60,27,3,216
Lackawanna,Waverly Township W-00 P-00,President,,DEM,Bernie Sanders,13,16,8,1,38
Lackawanna,Waverly Township W-00 P-00,President,,DEM,Joseph R. Biden,76,184,50,5,315
Lackawanna,Waverly Township W-00 P-00,President,,DEM,Tulsi Gabbard,8,3,1,0,12
Lackawanna,Waverly Township W-00 P-00,President,,DEM,Write-in,3,1,0,0,4
Lackawanna,Waverly Township W-00 P-00,Attorney General,,DEM,Josh Shapiro,79,185,54,6,324
Lackawanna,Waverly Township W-00 P-00,Attorney General,,DEM,Write-in,3,4,0,0,7
Lackawanna,Waverly Township W-00 P-00,Auditor General,,DEM,H. Scott Conklin,5,9,4,0,18
Lackawanna,Waverly Township W-00 P-00,Auditor General,,DEM,Michael Lamb,17,23,11,1,52
Lackawanna,Waverly Township W-00 P-00,Auditor General,,DEM,Tracie Fountain,5,15,3,0,23
Lackawanna,Waverly Township W-00 P-00,Auditor General,,DEM,Rose Rosie Marie Davis,11,34,12,3,60
Lackawanna,Waverly Township W-00 P-00,Auditor General,,DEM,Nina Ahmad,35,46,16,2,99
Lackawanna,Waverly Township W-00 P-00,Auditor General,,DEM,Christina M. Hartman,10,32,6,0,48
Lackawanna,Waverly Township W-00 P-00,Auditor General,,DEM,Write-in,2,0,0,0,2
Lackawanna,Waverly Township W-00 P-00,State Treasurer,,DEM,Joe Torsella,76,176,56,6,314
Lackawanna,Waverly Township W-00 P-00,State Treasurer,,DEM,Write-in,1,0,0,0,1
Lackawanna,Waverly Township W-00 P-00,U.S. House,8,DEM,Matt Cartwright,88,200,58,6,352
Lackawanna,Waverly Township W-00 P-00,U.S. House,8,DEM,Write-in,3,1,0,0,4
Lackawanna,Waverly Township W-00 P-00,General Assembly,114,DEM,Bridget Malloy Kosierowski,90,199,59,6,354
Lackawanna,Waverly Township W-00 P-00,General Assembly,114,DEM,Write-in,1,0,0,0,1
Lackawanna,Waverly Township W-00 P-00,President,,REP,Donald J. Trump,108,47,16,2,173
Lackawanna,Waverly Township W-00 P-00,President,,REP,Roque Rocky De La Fuente,2,1,2,0,5
Lackawanna,Waverly Township W-00 P-00,President,,REP,Bill Weld,7,3,5,1,16
Lackawanna,Waverly Township W-00 P-00,President,,REP,Write-in,5,3,2,0,10
Lackawanna,Waverly Township W-00 P-00,Attorney General,,REP,Heather Heidelbaugh,107,48,22,2,179
Lackawanna,Waverly Township W-00 P-00,Attorney General,,REP,Write-in,2,0,0,0,2
Lackawanna,Waverly Township W-00 P-00,Auditor General,,REP,Timothy DeFoor,105,45,23,2,175
Lackawanna,Waverly Township W-00 P-00,Auditor General,,REP,Write-in,1,1,0,0,2
Lackawanna,Waverly Township W-00 P-00,State Treasurer,,REP,Stacy L. Garrity,103,44,21,2,170
Lackawanna,Waverly Township W-00 P-00,State Treasurer,,REP,Write-in,2,1,0,0,3
Lackawanna,Waverly Township W-00 P-00,U.S. House,8,REP,Harry Haas,3,2,0,0,5
Lackawanna,Waverly Township W-00 P-00,U.S. House,8,REP,Teddy Daniels,24,2,3,1,30
Lackawanna,Waverly Township W-00 P-00,U.S. House,8,REP,Jim Bognet,32,10,3,0,45
Lackawanna,Waverly Township W-00 P-00,U.S. House,8,REP,Mike Cammisa,1,0,1,0,2
Lackawanna,Waverly Township W-00 P-00,U.S. House,8,REP,Mike Marsicano,15,3,3,1,22
Lackawanna,Waverly Township W-00 P-00,U.S. House,8,REP,Earl Granville,45,32,15,0,92
Lackawanna,Waverly Township W-00 P-00,U.S. House,8,REP,Write-in,0,1,0,1,2
Lackawanna,Waverly Township W-00 P-00,General Assembly,114,REP,James May,107,48,23,2,180
Lackawanna,Waverly Township W-00 P-00,General Assembly,114,REP,Write-in,2,2,0,0,4
Lackawanna,Archbald W-01 P-01,Registered Voters,,,,,,,,1158
Lackawanna,Archbald W-01 P-01,Registered Voters,,DEM,,,,,,837
Lackawanna,Archbald W-01 P-01,Registered Voters,,REP,,,,,,321
Lackawanna,Archbald W-01 P-01,Registered Voters,,NPA,,,,,,0
Lackawanna,Archbald W-01 P-01,Ballots Cast,,,,210,297,44,8,559
Lackawanna,Archbald W-01 P-01,Ballots Cast,,DEM,,124,258,37,5,424
Lackawanna,Archbald W-01 P-01,Ballots Cast,,REP,,86,39,7,3,135
Lackawanna,Archbald W-01 P-01,President,,DEM,Bernie Sanders,15,21,2,2,40
Lackawanna,Archbald W-01 P-01,President,,DEM,Joseph R. Biden,80,218,29,2,329
Lackawanna,Archbald W-01 P-01,President,,DEM,Tulsi Gabbard,9,6,2,0,17
Lackawanna,Archbald W-01 P-01,President,,DEM,Write-in,12,5,1,1,19
Lackawanna,Archbald W-01 P-01,Attorney General,,DEM,Josh Shapiro,88,234,30,5,357
Lackawanna,Archbald W-01 P-01,Attorney General,,DEM,Write-in,2,0,0,0,2
Lackawanna,Archbald W-01 P-01,Auditor General,,DEM,H. Scott Conklin,6,12,3,0,21
Lackawanna,Archbald W-01 P-01,Auditor General,,DEM,Michael Lamb,20,44,5,0,69
Lackawanna,Archbald W-01 P-01,Auditor General,,DEM,Tracie Fountain,7,20,3,0,30
Lackawanna,Archbald W-01 P-01,Auditor General,,DEM,Rose Rosie Marie Davis,13,66,6,1,86
Lackawanna,Archbald W-01 P-01,Auditor General,,DEM,Nina Ahmad,40,49,5,3,97
Lackawanna,Archbald W-01 P-01,Auditor General,,DEM,Christina M. Hartman,16,31,7,0,54
Lackawanna,Archbald W-01 P-01,Auditor General,,DEM,Write-in,3,0,0,0,3
Lackawanna,Archbald W-01 P-01,State Treasurer,,DEM,Joe Torsella,80,228,29,4,341
