county,precint,office,district,party,candidate,votes
Clearfield,BRISBIN BOROUGH,Registered Voters - Total, , ,Registered Voters - Total,224
Clearfield,BRISBIN BOROUGH,Registered Voters - DEMOCRATIC, ,DEM,Registered Voters - DEMOCRATIC,88
Clearfield,BRISBIN BOROUGH,Registered Voters - REPUBLICAN, ,REP,Registered Voters - REPUBLICAN,136
Clearfield,BRISBIN BOROUGH,Registered Voters - NONPARTISAN, ,NPA,Registered Voters - NONPARTISAN,0
Clearfield,BRISBIN BOROUGH,Ballots Cast - Total, , ,Ballots Cast - Total,88
Clearfield,BRISBIN BOROUGH,Ballots Cast - DEMOCRATIC, ,DEM,Ballots Cast - DEMOCRATIC,26
Clearfield,BRISBIN BOROUGH,Ballots Cast - REPUBLICAN, ,REP,Ballots Cast - REPUBLICAN,62
Clearfield,BRISBIN BOROUGH,Ballots Cast - NONPARTISAN, ,NPA,Ballots Cast - NONPARTISAN,0
Clearfield,BRISBIN BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,BERNIE SANDERS,6
Clearfield,BRISBIN BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,JOSEPH R BIDEN,15
Clearfield,BRISBIN BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,TULSI GABBARD,3
Clearfield,BRISBIN BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,Write-In Totals,2
Clearfield,BRISBIN BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,   Write-In: DONALD J TRUMP,2
Clearfield,BRISBIN BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,   Write-In: SCATTERED,0
Clearfield,BRISBIN BOROUGH,PRESIDENT OF THE UNITED STATES, ,DEM,  Not Assigned,0
Clearfield,BRISBIN BOROUGH,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,23
Clearfield,BRISBIN BOROUGH,ATTORNEY GENERAL, ,DEM,Write-In Totals,1
Clearfield,BRISBIN BOROUGH,ATTORNEY GENERAL, ,DEM,   Write-In: SCATTERED,1
Clearfield,BRISBIN BOROUGH,ATTORNEY GENERAL, ,DEM,   Write-In: HEATHER HEIDELBAUGH,0
Clearfield,BRISBIN BOROUGH,ATTORNEY GENERAL, ,DEM,  Not Assigned,0
Clearfield,BRISBIN BOROUGH,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,22
Clearfield,BRISBIN BOROUGH,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,3
Clearfield,BRISBIN BOROUGH,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,0
Clearfield,BRISBIN BOROUGH,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,0
Clearfield,BRISBIN BOROUGH,AUDITOR GENERAL, ,DEM,NINA AHMAD,0
Clearfield,BRISBIN BOROUGH,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,0
Clearfield,BRISBIN BOROUGH,AUDITOR GENERAL, ,DEM,Write-In Totals,0
Clearfield,BRISBIN BOROUGH,AUDITOR GENERAL, ,DEM,   Write-In: TIMOTHY DEFOOR,0
Clearfield,BRISBIN BOROUGH,AUDITOR GENERAL, ,DEM,   Write-In: SCATTERED,0
Clearfield,BRISBIN BOROUGH,AUDITOR GENERAL, ,DEM,  Not Assigned,0
Clearfield,BRISBIN BOROUGH,STATE TREASURER, ,DEM,JOE TORSELLA,23
Clearfield,BRISBIN BOROUGH,STATE TREASURER, ,DEM,Write-In Totals,0
Clearfield,BRISBIN BOROUGH,STATE TREASURER, ,DEM,   Write-In: STACEY GARRITY,0
Clearfield,BRISBIN BOROUGH,STATE TREASURER, ,DEM,   Write-In: SCATTERED,0
Clearfield,BRISBIN BOROUGH,STATE TREASURER, ,DEM,  Not Assigned,0
Clearfield,BRISBIN BOROUGH,REPRESENTATIVE IN CONGRESS, ,DEM,ROBERT WILLIAMS,25
Clearfield,BRISBIN BOROUGH,REPRESENTATIVE IN CONGRESS, ,DEM,Write-In Totals,1
Clearfield,BRISBIN BOROUGH,REPRESENTATIVE IN CONGRESS, ,DEM,   Write-In: GLENN GT THOMPSON,0
Clearfield,BRISBIN BOROUGH,REPRESENTATIVE IN CONGRESS, ,DEM,   Write-In: SCATTERED,1
Clearfield,BRISBIN BOROUGH,REPRESENTATIVE IN CONGRESS, ,DEM,  Not Assigned,0
Clearfield,BRISBIN BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,DEM,Write-In Totals,1
Clearfield,BRISBIN BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,DEM,   Write-In: SCATTERED,0
Clearfield,BRISBIN BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,DEM,   Write-In: TOMMY SANKEY,1
Clearfield,BRISBIN BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY HOUSE 73RD, ,DEM,  Not Assigned,0
Clearfield,BRISBIN BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,DONALD J TRUMP,62
Clearfield,BRISBIN BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,ROQUE ROCKY DE LA FUENTE,0
Clearfield,BRISBIN BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,BILL WELD,0
Clearfield,BRISBIN BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,Write-In Totals,0
Clearfield,BRISBIN BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,   Write-In: BERNIE SANDERS,0
Clearfield,BRISBIN BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,   Write-In: JOSEPH BIDEN,0
Clearfield,BRISBIN BOROUGH,PRESIDENT OF THE UNITED STATES, ,REP,   Write-In: SCATTERED,0
