county,precinct,office,district,party,candidate,election_day,mail_in,votes
Mercer,Clark,Registered Voters,,,,,,376
Mercer,Clark,Registered Voters,,DEM,,,,191
Mercer,Clark,Registered Voters,,REP,,,,185
Mercer,Clark,Registered Voters,,NPA,,,,0
Mercer,Clark,Ballots Cast,,,,91,47,138
Mercer,Clark,Ballots Cast,,DEM,,43,30,73
Mercer,Clark,Ballots Cast,,REP,,48,17,65
Mercer,Clark,Ballots Cast,,NPA,,0,0,0
Mercer,Clark,President,,DEM,Bernie Sanders,8,0,8
Mercer,Clark,President,,DEM,Joseph R. Biden,28,29,57
Mercer,Clark,President,,DEM,Tulsi Gabbard,2,0,2
Mercer,Clark,President,,DEM,Elizabeth Warren,2,0,2
Mercer,Clark,President,,DEM,Write-In,2,0,2
Mercer,Clark,Attorney General,,DEM,Josh Shapiro,36,25,61
Mercer,Clark,Attorney General,,DEM,Write-In,1,0,1
Mercer,Clark,Auditor General,,DEM,H. Scott Conklin,0,0,0
Mercer,Clark,Auditor General,,DEM,Michael Lamb,25,24,49
Mercer,Clark,Auditor General,,DEM,Tracie Fountain,2,1,3
Mercer,Clark,Auditor General,,DEM,Rose Rosie Marie Davis,2,0,2
Mercer,Clark,Auditor General,,DEM,Nina Ahmad,3,0,3
Mercer,Clark,Auditor General,,DEM,Christina M. Hartman,3,3,6
Mercer,Clark,Auditor General,,DEM,Write-In,1,0,1
Mercer,Clark,State Treasurer,,DEM,Joe Torsella,33,23,56
Mercer,Clark,State Treasurer,,DEM,Write-In,1,1,2
Mercer,Clark,U.S. House,16,DEM,Kristy Gnibus,36,22,58
Mercer,Clark,U.S. House,16,DEM,Write-In,1,1,2
Mercer,Clark,General Assembly,7,DEM,Mark Longietti,42,28,70
Mercer,Clark,General Assembly,7,DEM,Write-In,0,0,0
Mercer,Clark,President,,REP,Donald J. Trump,48,14,62
Mercer,Clark,President,,REP,Roque Rocky De La Fuente,0,1,1
Mercer,Clark,President,,REP,Bill Weld,0,1,1
Mercer,Clark,President,,REP,Write-In,0,1,1
Mercer,Clark,Attorney General,,REP,Heather Heidelbaugh,41,14,55
Mercer,Clark,Attorney General,,REP,Write-In,0,1,1
Mercer,Clark,Auditor General,,REP,Timothy Defoor,43,14,57
Mercer,Clark,Auditor General,,REP,Write-In,0,1,1
Mercer,Clark,State Treasurer,,REP,Stacy L. Garrity,41,14,55
Mercer,Clark,State Treasurer,,REP,Write-In,0,1,1
Mercer,Clark,U.S. House,16,REP,Mike Kelly,43,13,56
Mercer,Clark,U.S. House,16,REP,Write-In,1,2,3
Mercer,Clark,General Assembly,7,REP,Write-In,4,3,7
