county,precinct,office,district,party,candidate,election_day,mail_in,absentee,provisional,votes
Schuylkill,Ashland 1st,Registered Voters,,,,,,,,774
Schuylkill,Ashland 1st,Registered Voters,,DEM,,,,,,333
Schuylkill,Ashland 1st,Registered Voters,,REP,,,,,,334
Schuylkill,Ashland 1st,Registered Voters,,NPA,,,,,,107
Schuylkill,Ashland 1st,Ballots Cast,,,,177,75,17,2,271
Schuylkill,Ashland 1st,Ballots Cast,,DEM,,67,42,14,0,123
Schuylkill,Ashland 1st,Ballots Cast,,REP,,110,33,3,2,148
Schuylkill,Ashland 1st,Ballots Cast,,NPA,,0,0,0,0,0
Schuylkill,Ashland 1st,President,,DEM,Bernie Sanders,12,5,2,0,19
Schuylkill,Ashland 1st,President,,DEM,Joseph R. Biden,42,36,11,0,89
Schuylkill,Ashland 1st,President,,DEM,Tulsi Gabbard,5,1,0,0,6
Schuylkill,Ashland 1st,President,,DEM,Write-in,7,0,1,0,8
Schuylkill,Ashland 1st,Attorney General,,DEM,Josh Shapiro,60,39,13,0,112
Schuylkill,Ashland 1st,Attorney General,,DEM,Write-in,1,0,1,0,2
Schuylkill,Ashland 1st,Auditor General,,DEM,H. Scott Conklin,10,3,2,0,15
Schuylkill,Ashland 1st,Auditor General,,DEM,Michael Lamb,12,9,0,0,21
Schuylkill,Ashland 1st,Auditor General,,DEM,Tracie Fountain,8,8,3,0,19
Schuylkill,Ashland 1st,Auditor General,,DEM,Rose Rosie Marie Davis,3,2,1,0,6
Schuylkill,Ashland 1st,Auditor General,,DEM,Nina Ahmad,8,7,1,0,16
Schuylkill,Ashland 1st,Auditor General,,DEM,Christina M. Hartman,20,11,7,0,38
Schuylkill,Ashland 1st,Auditor General,,DEM,Write-in,1,0,0,0,1
Schuylkill,Ashland 1st,State Treasurer,,DEM,Joe Torsella,55,37,13,0,105
Schuylkill,Ashland 1st,State Treasurer,,DEM,Write-in,0,0,1,0,1
Schuylkill,Ashland 1st,U.S. House,9,DEM,Laura Quick,28,18,6,0,52
Schuylkill,Ashland 1st,U.S. House,9,DEM,Gary Wegman,31,22,8,0,61
Schuylkill,Ashland 1st,U.S. House,9,DEM,Write-in,1,0,0,0,1
Schuylkill,Ashland 1st,State Senate,29,DEM,Write-in,8,8,4,0,20
Schuylkill,Ashland 1st,General Assembly,123,DEM,Peter PJ Symons Jr.,62,37,11,0,110
Schuylkill,Ashland 1st,General Assembly,123,DEM,Write-in,0,1,2,0,3
Schuylkill,Ashland 1st,President,,REP,Donald J. Trump,104,27,1,2,134
Schuylkill,Ashland 1st,President,,REP,Roque Rocky De La Fuente,1,0,0,0,1
Schuylkill,Ashland 1st,President,,REP,Bill Weld,2,4,2,0,8
Schuylkill,Ashland 1st,President,,REP,Write-in,2,1,0,0,3
Schuylkill,Ashland 1st,Attorney General,,REP,Heather Heidelbaugh,102,27,3,2,134
Schuylkill,Ashland 1st,Attorney General,,REP,Write-in,0,0,0,0,0
Schuylkill,Ashland 1st,Auditor General,,REP,Timothy Defoor,101,26,2,2,131
Schuylkill,Ashland 1st,Auditor General,,REP,Write-in,0,0,0,0,0
Schuylkill,Ashland 1st,State Treasurer,,REP,Stacy L. Garrity,102,26,3,2,133
Schuylkill,Ashland 1st,State Treasurer,,REP,Write-in,0,0,0,0,0
Schuylkill,Ashland 1st,U.S. House,9,REP,Dan Meuser,100,28,3,2,133
Schuylkill,Ashland 1st,U.S. House,9,REP,Write-in,2,0,0,0,2
Schuylkill,Ashland 1st,State Senate,29,REP,Dave Argall,101,29,2,2,134
Schuylkill,Ashland 1st,State Senate,29,REP,Write-in,1,0,1,0,2
Schuylkill,Ashland 1st,General Assembly,123,REP,John Leshko,24,6,0,1,31
Schuylkill,Ashland 1st,General Assembly,123,REP,Tim Twardzik,82,26,3,1,112
Schuylkill,Ashland 1st,General Assembly,123,REP,Write-in,3,0,0,0,3
Schuylkill,Ashland 2nd,Registered Voters,,,,,,,,627
Schuylkill,Ashland 2nd,Registered Voters,,DEM,,,,,,241
Schuylkill,Ashland 2nd,Registered Voters,,REP,,,,,,315
Schuylkill,Ashland 2nd,Registered Voters,,NPA,,,,,,71
Schuylkill,Ashland 2nd,Ballots Cast,,,,162,58,15,3,238
Schuylkill,Ashland 2nd,Ballots Cast,,DEM,,53,34,10,0,97
Schuylkill,Ashland 2nd,Ballots Cast,,REP,,109,24,5,3,141
Schuylkill,Ashland 2nd,Ballots Cast,,NPA,,0,0,0,0,0
Schuylkill,Ashland 2nd,President,,DEM,Bernie Sanders,7,4,2,0,13
Schuylkill,Ashland 2nd,President,,DEM,Joseph R. Biden,32,27,7,0,66
Schuylkill,Ashland 2nd,President,,DEM,Tulsi Gabbard,8,0,0,0,8
Schuylkill,Ashland 2nd,President,,DEM,Write-in,3,2,0,0,5
Schuylkill,Ashland 2nd,Attorney General,,DEM,Josh Shapiro,47,29,10,0,86
Schuylkill,Ashland 2nd,Attorney General,,DEM,Write-in,0,0,0,0,0
Schuylkill,Ashland 2nd,Auditor General,,DEM,H. Scott Conklin,11,3,4,0,18
Schuylkill,Ashland 2nd,Auditor General,,DEM,Michael Lamb,7,6,0,0,13
Schuylkill,Ashland 2nd,Auditor General,,DEM,Tracie Fountain,8,7,2,0,17
Schuylkill,Ashland 2nd,Auditor General,,DEM,Rose Rosie Marie Davis,2,2,0,0,4
Schuylkill,Ashland 2nd,Auditor General,,DEM,Nina Ahmad,13,3,2,0,18
Schuylkill,Ashland 2nd,Auditor General,,DEM,Christina M. Hartman,7,11,2,0,20
Schuylkill,Ashland 2nd,Auditor General,,DEM,Write-in,0,1,0,0,1
Schuylkill,Ashland 2nd,State Treasurer,,DEM,Joe Torsella,47,27,10,0,84
Schuylkill,Ashland 2nd,State Treasurer,,DEM,Write-in,0,1,0,0,1
Schuylkill,Ashland 2nd,U.S. House,9,DEM,Laura Quick,25,14,8,0,47
Schuylkill,Ashland 2nd,U.S. House,9,DEM,Gary Wegman,23,15,2,0,40
Schuylkill,Ashland 2nd,U.S. House,9,DEM,Write-in,0,1,0,0,1
Schuylkill,Ashland 2nd,State Senate,29,DEM,Write-in,2,2,1,0,5
Schuylkill,Ashland 2nd,General Assembly,123,DEM,Peter PJ Symons Jr.,50,28,9,0,87
Schuylkill,Ashland 2nd,General Assembly,123,DEM,Write-in,0,2,0,0,2
Schuylkill,Ashland 2nd,President,,REP,Donald J. Trump,106,13,2,3,124
Schuylkill,Ashland 2nd,President,,REP,Roque Rocky De La Fuente,0,1,0,0,1
Schuylkill,Ashland 2nd,President,,REP,Bill Weld,1,5,2,0,8
Schuylkill,Ashland 2nd,President,,REP,Write-in,0,2,1,0,3
Schuylkill,Ashland 2nd,Attorney General,,REP,Heather Heidelbaugh,94,21,3,3,121
Schuylkill,Ashland 2nd,Attorney General,,REP,Write-in,0,0,0,0,0
Schuylkill,Ashland 2nd,Auditor General,,REP,Timothy Defoor,95,21,3,3,122
Schuylkill,Ashland 2nd,Auditor General,,REP,Write-in,0,0,1,0,1
Schuylkill,Ashland 2nd,State Treasurer,,REP,Stacy L. Garrity,96,21,3,3,123
Schuylkill,Ashland 2nd,State Treasurer,,REP,Write-in,0,0,0,0,0
Schuylkill,Ashland 2nd,U.S. House,9,REP,Dan Meuser,95,23,3,3,124
Schuylkill,Ashland 2nd,U.S. House,9,REP,Write-in,2,0,0,0,2
Schuylkill,Ashland 2nd,State Senate,29,REP,Dave Argall,100,24,4,3,131
Schuylkill,Ashland 2nd,State Senate,29,REP,Write-in,3,0,0,0,3
Schuylkill,Ashland 2nd,General Assembly,123,REP,John Leshko,36,4,0,0,40
Schuylkill,Ashland 2nd,General Assembly,123,REP,Tim Twardzik,70,20,4,3,97
Schuylkill,Ashland 2nd,General Assembly,123,REP,Write-in,1,0,0,0,1
Schuylkill,Blythe Twp,Registered Voters,,,,,,,,547
Schuylkill,Blythe Twp,Registered Voters,,DEM,,,,,,254
Schuylkill,Blythe Twp,Registered Voters,,REP,,,,,,258
Schuylkill,Blythe Twp,Registered Voters,,NPA,,,,,,35
Schuylkill,Blythe Twp,Ballots Cast,,,,122,72,23,1,218
Schuylkill,Blythe Twp,Ballots Cast,,DEM,,47,37,15,0,99
Schuylkill,Blythe Twp,Ballots Cast,,REP,,75,35,8,1,119
Schuylkill,Blythe Twp,Ballots Cast,,NPA,,0,0,0,0,0
Schuylkill,Blythe Twp,President,,DEM,Bernie Sanders,6,4,3,0,13
Schuylkill,Blythe Twp,President,,DEM,Joseph R. Biden,19,22,11,0,52
Schuylkill,Blythe Twp,President,,DEM,Tulsi Gabbard,4,2,0,0,6
Schuylkill,Blythe Twp,President,,DEM,Write-in,16,4,0,0,20
Schuylkill,Blythe Twp,Attorney General,,DEM,Josh Shapiro,31,28,13,0,72
Schuylkill,Blythe Twp,Attorney General,,DEM,Write-in,3,2,0,0,5
Schuylkill,Blythe Twp,Auditor General,,DEM,H. Scott Conklin,6,1,0,0,7
Schuylkill,Blythe Twp,Auditor General,,DEM,Michael Lamb,4,7,1,0,12
Schuylkill,Blythe Twp,Auditor General,,DEM,Tracie Fountain,5,6,3,0,14
Schuylkill,Blythe Twp,Auditor General,,DEM,Rose Rosie Marie Davis,2,0,2,0,4
Schuylkill,Blythe Twp,Auditor General,,DEM,Nina Ahmad,3,5,3,0,11
Schuylkill,Blythe Twp,Auditor General,,DEM,Christina M. Hartman,17,8,3,0,28
Schuylkill,Blythe Twp,Auditor General,,DEM,Write-in,3,0,0,0,3
Schuylkill,Blythe Twp,State Treasurer,,DEM,Joe Torsella,32,25,13,0,70
Schuylkill,Blythe Twp,State Treasurer,,DEM,Write-in,2,2,0,0,4
Schuylkill,Blythe Twp,U.S. House,9,DEM,Laura Quick,13,9,5,0,27
Schuylkill,Blythe Twp,U.S. House,9,DEM,Gary Wegman,25,21,6,0,52
Schuylkill,Blythe Twp,U.S. House,9,DEM,Write-in,2,2,1,0,5
Schuylkill,Blythe Twp,State Senate,29,DEM,Write-in,7,4,3,0,14
Schuylkill,Blythe Twp,General Assembly,123,DEM,Peter PJ Symons Jr.,33,34,12,0,79
Schuylkill,Blythe Twp,General Assembly,123,DEM,Write-in,5,3,2,0,10
Schuylkill,Blythe Twp,President,,REP,Donald J. Trump,72,28,8,0,108
Schuylkill,Blythe Twp,President,,REP,Roque Rocky De La Fuente,0,4,0,0,4
Schuylkill,Blythe Twp,President,,REP,Bill Weld,0,0,0,0,0
Schuylkill,Blythe Twp,President,,REP,Write-in,1,3,0,1,5
Schuylkill,Blythe Twp,Attorney General,,REP,Heather Heidelbaugh,58,29,7,0,94
Schuylkill,Blythe Twp,Attorney General,,REP,Write-in,2,0,1,0,3
Schuylkill,Blythe Twp,Auditor General,,REP,Timothy Defoor,57,29,7,0,93
