county,precint,office,district,party,candidate,votes
Beaver,ALIQUIPPA 1,Ballots Cast - Total, , ,Ballots Cast - Total,99
Beaver,ALIQUIPPA 1,Ballots Cast - DEMOCRATIC, ,DEM,Ballots Cast - DEMOCRATIC,68
Beaver,ALIQUIPPA 1,Ballots Cast - REPUBLICAN, ,REP,Ballots Cast - REPUBLICAN,31
Beaver,ALIQUIPPA 1,Ballots Cast - NONPARTISAN, ,NPA,Ballots Cast - NONPARTISAN,0
Beaver,ALIQUIPPA 1,Ballots Cast - Blank, , ,Ballots Cast - Blank,1
Beaver,ALIQUIPPA 1,PRESIDENT OF THE UNITED STATES, ,DEM,BERNIE SANDERS,11
Beaver,ALIQUIPPA 1,PRESIDENT OF THE UNITED STATES, ,DEM,JOSEPH R. BIDEN,47
Beaver,ALIQUIPPA 1,PRESIDENT OF THE UNITED STATES, ,DEM,TULSI GABBARD,2
Beaver,ALIQUIPPA 1,PRESIDENT OF THE UNITED STATES, ,DEM,Write-In Totals,5
Beaver,ALIQUIPPA 1,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,56
Beaver,ALIQUIPPA 1,ATTORNEY GENERAL, ,DEM,Write-In Totals,2
Beaver,ALIQUIPPA 1,AUDITOR GENERAL, ,DEM,H. SCOTT CONKLIN,2
Beaver,ALIQUIPPA 1,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,48
Beaver,ALIQUIPPA 1,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,2
Beaver,ALIQUIPPA 1,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,2
Beaver,ALIQUIPPA 1,AUDITOR GENERAL, ,DEM,NINA AHMAD,5
Beaver,ALIQUIPPA 1,AUDITOR GENERAL, ,DEM,CHRISTINA M. HARTMAN,1
Beaver,ALIQUIPPA 1,AUDITOR GENERAL, ,DEM,Write-In Totals,2
Beaver,ALIQUIPPA 1,STATE TREASURER, ,DEM,JOE TORSELLA,57
Beaver,ALIQUIPPA 1,STATE TREASURER, ,DEM,Write-In Totals,3
Beaver,ALIQUIPPA 1,REPRESENTATIVE IN CONGRESS, ,DEM,CONOR LAMB,60
Beaver,ALIQUIPPA 1,REPRESENTATIVE IN CONGRESS, ,DEM,Write-In Totals,2
Beaver,ALIQUIPPA 1,REP IN THE GENERAL ASSEMBLY 16TH DISTRICT, ,DEM,ROBERT F. MATZIE,59
Beaver,ALIQUIPPA 1,REP IN THE GENERAL ASSEMBLY 16TH DISTRICT, ,DEM,Write-In Totals,3
Beaver,ALIQUIPPA 1,PRESIDENT OF THE UNITED STATES, ,REP,DONALD J. TRUMP,31
Beaver,ALIQUIPPA 1,PRESIDENT OF THE UNITED STATES, ,REP,ROQUE ROCKY DE LA FUENTE,0
Beaver,ALIQUIPPA 1,PRESIDENT OF THE UNITED STATES, ,REP,BILL WELD,0
Beaver,ALIQUIPPA 1,PRESIDENT OF THE UNITED STATES, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 1,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,29
Beaver,ALIQUIPPA 1,ATTORNEY GENERAL, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 1,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,28
Beaver,ALIQUIPPA 1,AUDITOR GENERAL, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 1,STATE TREASURER, ,REP,STACY L. GARRITY,28
Beaver,ALIQUIPPA 1,STATE TREASURER, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 1,REPRESENTATIVE IN CONGRESS, ,REP,SEAN PARNELL,27
Beaver,ALIQUIPPA 1,REPRESENTATIVE IN CONGRESS, ,REP,Write-In Totals,1
Beaver,ALIQUIPPA 1,REP IN THE GENERAL ASSEMBLY 16TH DISTRICT, ,REP,RICO ELMORE,29
Beaver,ALIQUIPPA 1,REP IN THE GENERAL ASSEMBLY 16TH DISTRICT, ,REP,Write-In Totals,0
Beaver,ALIQUIPPA 2,Ballots Cast - Total, , ,Ballots Cast - Total,242
Beaver,ALIQUIPPA 2,Ballots Cast - DEMOCRATIC, ,DEM,Ballots Cast - DEMOCRATIC,236
Beaver,ALIQUIPPA 2,Ballots Cast - REPUBLICAN, ,REP,Ballots Cast - REPUBLICAN,6
Beaver,ALIQUIPPA 2,Ballots Cast - NONPARTISAN, ,NPA,Ballots Cast - NONPARTISAN,0
Beaver,ALIQUIPPA 2,Ballots Cast - Blank, , ,Ballots Cast - Blank,0
Beaver,ALIQUIPPA 2,PRESIDENT OF THE UNITED STATES, ,DEM,BERNIE SANDERS,22
Beaver,ALIQUIPPA 2,PRESIDENT OF THE UNITED STATES, ,DEM,JOSEPH R. BIDEN,205
Beaver,ALIQUIPPA 2,PRESIDENT OF THE UNITED STATES, ,DEM,TULSI GABBARD,2
Beaver,ALIQUIPPA 2,PRESIDENT OF THE UNITED STATES, ,DEM,Write-In Totals,2
Beaver,ALIQUIPPA 2,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,198
Beaver,ALIQUIPPA 2,ATTORNEY GENERAL, ,DEM,Write-In Totals,2
Beaver,ALIQUIPPA 2,AUDITOR GENERAL, ,DEM,H. SCOTT CONKLIN,5
Beaver,ALIQUIPPA 2,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,134
Beaver,ALIQUIPPA 2,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,23
Beaver,ALIQUIPPA 2,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,10
Beaver,ALIQUIPPA 2,AUDITOR GENERAL, ,DEM,NINA AHMAD,41
Beaver,ALIQUIPPA 2,AUDITOR GENERAL, ,DEM,CHRISTINA M. HARTMAN,4
Beaver,ALIQUIPPA 2,AUDITOR GENERAL, ,DEM,Write-In Totals,1
Beaver,ALIQUIPPA 2,STATE TREASURER, ,DEM,JOE TORSELLA,191
Beaver,ALIQUIPPA 2,STATE TREASURER, ,DEM,Write-In Totals,2
Beaver,ALIQUIPPA 2,REPRESENTATIVE IN CONGRESS, ,DEM,CONOR LAMB,217
Beaver,ALIQUIPPA 2,REPRESENTATIVE IN CONGRESS, ,DEM,Write-In Totals,0
Beaver,ALIQUIPPA 2,REP IN THE GENERAL ASSEMBLY 16TH DISTRICT, ,DEM,ROBERT F. MATZIE,219
Beaver,ALIQUIPPA 2,REP IN THE GENERAL ASSEMBLY 16TH DISTRICT, ,DEM,Write-In Totals,2
Beaver,ALIQUIPPA 2,PRESIDENT OF THE UNITED STATES, ,REP,DONALD J. TRUMP,5
