county,precinct,office,district,party,candidate,votes,absentee_mail,election_day
Chester,005 ATGLEN,Registered Voters, ,,Registered Voters - Total,791,,
Chester,005 ATGLEN,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,305,,
Chester,005 ATGLEN,Registered Voters, ,REP,Registered Voters - REPUBLICAN,377,,
Chester,005 ATGLEN,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,109,,
Chester,005 ATGLEN,Ballots Cast, , , ,292,93,199
Chester,005 ATGLEN,Ballots Cast, ,DEM, ,134,64,70
Chester,005 ATGLEN,Ballots Cast, ,REP, ,158,29,129
Chester,005 ATGLEN,Ballots Cast, ,NPA, ,0,0,0
Chester,005 ATGLEN,President, ,DEM,BERNIE SANDERS,24,11,13
Chester,005 ATGLEN,President, ,DEM,JOSEPH R BIDEN,102,50,52
Chester,005 ATGLEN,President, ,DEM,TULSI GABBARD,2,1,1
Chester,005 ATGLEN,President, ,DEM,Write-In Totals,4,1,3
Chester,005 ATGLEN,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,120,58,62
Chester,005 ATGLEN,ATTORNEY GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,005 ATGLEN,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,5,1,4
Chester,005 ATGLEN,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,6,5,1
Chester,005 ATGLEN,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,2,2,0
Chester,005 ATGLEN,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,3,3,0
Chester,005 ATGLEN,AUDITOR GENERAL, ,DEM,NINA AHMAD,43,21,22
Chester,005 ATGLEN,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,62,27,35
Chester,005 ATGLEN,AUDITOR GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,005 ATGLEN,STATE TREASURER, ,DEM,JOE TORSELLA,122,59,63
Chester,005 ATGLEN,STATE TREASURER, ,DEM,Write-In Totals,1,0,1
Chester,005 ATGLEN,U.S. House,6,DEM,CHRISSY HOULAHAN,124,60,64
Chester,005 ATGLEN,U.S. House,6,DEM,Write-In Totals,1,0,1
Chester,005 ATGLEN,State House,13,DEM,RICHARD RUGGIERI,123,59,64
Chester,005 ATGLEN,State House,13,DEM,Write-In Totals,0,0,0
Chester,005 ATGLEN,President, ,REP,DONALD J TRUMP,131,18,113
Chester,005 ATGLEN,President, ,REP,ROQUE ROCKY DE LA FUENTE,2,2,0
Chester,005 ATGLEN,President, ,REP,BILL WELD,10,2,8
Chester,005 ATGLEN,President, ,REP,Write-In Totals,7,3,4
Chester,005 ATGLEN,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,132,20,112
Chester,005 ATGLEN,ATTORNEY GENERAL, ,REP,Write-In Totals,1,1,0
Chester,005 ATGLEN,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,129,19,110
Chester,005 ATGLEN,AUDITOR GENERAL, ,REP,Write-In Totals,2,1,1
Chester,005 ATGLEN,STATE TREASURER, ,REP,STACY L GARRITY,133,19,114
Chester,005 ATGLEN,STATE TREASURER, ,REP,Write-In Totals,1,1,0
Chester,005 ATGLEN,U.S. House,6,REP,JOHN EMMONS,137,22,115
Chester,005 ATGLEN,U.S. House,6,REP,Write-In Totals,2,1,1
Chester,005 ATGLEN,State House,13,REP,JOHN LAWRENCE,140,22,118
Chester,005 ATGLEN,State House,13,REP,Write-In Totals,4,1,3
Chester,010 AVONDALE,Registered Voters, ,,Registered Voters - Total,479,,
Chester,010 AVONDALE,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,266,,
Chester,010 AVONDALE,Registered Voters, ,REP,Registered Voters - REPUBLICAN,125,,
Chester,010 AVONDALE,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,88,,
Chester,010 AVONDALE,Ballots Cast, , , ,136,71,65
Chester,010 AVONDALE,Ballots Cast, ,DEM, ,93,58,35
Chester,010 AVONDALE,Ballots Cast, ,REP, ,43,13,30
Chester,010 AVONDALE,Ballots Cast, ,NPA, ,0,0,0
Chester,010 AVONDALE,President, ,DEM,BERNIE SANDERS,12,7,5
Chester,010 AVONDALE,President, ,DEM,JOSEPH R BIDEN,72,45,27
Chester,010 AVONDALE,President, ,DEM,TULSI GABBARD,4,3,1
Chester,010 AVONDALE,President, ,DEM,Write-In Totals,4,2,2
Chester,010 AVONDALE,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,87,56,31
Chester,010 AVONDALE,ATTORNEY GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,010 AVONDALE,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,3,1,2
Chester,010 AVONDALE,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,5,1,4
Chester,010 AVONDALE,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,6,3,3
Chester,010 AVONDALE,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,2,0,2
Chester,010 AVONDALE,AUDITOR GENERAL, ,DEM,NINA AHMAD,34,23,11
Chester,010 AVONDALE,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,37,27,10
Chester,010 AVONDALE,AUDITOR GENERAL, ,DEM,Write-In Totals,0,0,0
Chester,010 AVONDALE,STATE TREASURER, ,DEM,JOE TORSELLA,89,56,33
Chester,010 AVONDALE,STATE TREASURER, ,DEM,Write-In Totals,0,0,0
Chester,010 AVONDALE,U.S. House,6,DEM,CHRISSY HOULAHAN,90,58,32
Chester,010 AVONDALE,U.S. House,6,DEM,Write-In Totals,1,0,1
Chester,010 AVONDALE,State House,158,DEM,CHRISTINA SAPPEY,85,55,30
Chester,010 AVONDALE,State House,158,DEM,Write-In Totals,1,0,1
Chester,010 AVONDALE,President, ,REP,DONALD J TRUMP,33,11,22
Chester,010 AVONDALE,President, ,REP,ROQUE ROCKY DE LA FUENTE,0,0,0
Chester,010 AVONDALE,President, ,REP,BILL WELD,3,0,3
Chester,010 AVONDALE,President, ,REP,Write-In Totals,5,1,4
Chester,010 AVONDALE,ATTORNEY GENERAL, ,REP,HEATHER HEIDELBAUGH,42,13,29
Chester,010 AVONDALE,ATTORNEY GENERAL, ,REP,Write-In Totals,0,0,0
Chester,010 AVONDALE,AUDITOR GENERAL, ,REP,TIMOTHY DEFOOR,41,12,29
Chester,010 AVONDALE,AUDITOR GENERAL, ,REP,Write-In Totals,0,0,0
Chester,010 AVONDALE,STATE TREASURER, ,REP,STACY L GARRITY,42,13,29
Chester,010 AVONDALE,STATE TREASURER, ,REP,Write-In Totals,0,0,0
Chester,010 AVONDALE,U.S. House,6,REP,JOHN EMMONS,41,13,28
Chester,010 AVONDALE,U.S. House,6,REP,Write-In Totals,1,0,1
Chester,010 AVONDALE,State House,158,REP,ERIC ROE,41,13,28
Chester,010 AVONDALE,State House,158,REP,Write-In Totals,2,0,2
Chester,014 BIRMINGHAM 1,Registered Voters, ,,Registered Voters - Total,"1,216",,
Chester,014 BIRMINGHAM 1,Registered Voters, ,DEM,Registered Voters - DEMOCRATIC,422,,
Chester,014 BIRMINGHAM 1,Registered Voters, ,REP,Registered Voters - REPUBLICAN,587,,
Chester,014 BIRMINGHAM 1,Registered Voters, ,NPA,Registered Voters - NON-PARTISAN,207,,
Chester,014 BIRMINGHAM 1,Ballots Cast, , , ,448,259,189
Chester,014 BIRMINGHAM 1,Ballots Cast, ,DEM, ,243,181,62
Chester,014 BIRMINGHAM 1,Ballots Cast, ,REP, ,205,78,127
Chester,014 BIRMINGHAM 1,Ballots Cast, ,NPA, ,0,0,0
Chester,014 BIRMINGHAM 1,President, ,DEM,BERNIE SANDERS,21,17,4
Chester,014 BIRMINGHAM 1,President, ,DEM,JOSEPH R BIDEN,214,159,55
Chester,014 BIRMINGHAM 1,President, ,DEM,TULSI GABBARD,3,2,1
Chester,014 BIRMINGHAM 1,President, ,DEM,Write-In Totals,4,2,2
Chester,014 BIRMINGHAM 1,ATTORNEY GENERAL, ,DEM,JOSH SHAPIRO,227,171,56
Chester,014 BIRMINGHAM 1,ATTORNEY GENERAL, ,DEM,Write-In Totals,1,0,1
Chester,014 BIRMINGHAM 1,AUDITOR GENERAL, ,DEM,H SCOTT CONKLIN,8,6,2
Chester,014 BIRMINGHAM 1,AUDITOR GENERAL, ,DEM,MICHAEL LAMB,23,19,4
Chester,014 BIRMINGHAM 1,AUDITOR GENERAL, ,DEM,TRACIE FOUNTAIN,16,13,3
Chester,014 BIRMINGHAM 1,AUDITOR GENERAL, ,DEM,ROSE ROSIE MARIE DAVIS,5,3,2
Chester,014 BIRMINGHAM 1,AUDITOR GENERAL, ,DEM,NINA AHMAD,93,65,28
Chester,014 BIRMINGHAM 1,AUDITOR GENERAL, ,DEM,CHRISTINA M HARTMAN,70,55,15
Chester,014 BIRMINGHAM 1,AUDITOR GENERAL, ,DEM,Write-In Totals,1,0,1
Chester,014 BIRMINGHAM 1,STATE TREASURER, ,DEM,JOE TORSELLA,227,170,57
Chester,014 BIRMINGHAM 1,STATE TREASURER, ,DEM,Write-In Totals,1,0,1
Chester,014 BIRMINGHAM 1,U.S. House,6,DEM,CHRISSY HOULAHAN,235,178,57
Chester,014 BIRMINGHAM 1,U.S. House,6,DEM,Write-In Totals,0,0,0
Chester,014 BIRMINGHAM 1,State House,156,DEM,CAROLYN COMITTA,235,177,58
Chester,014 BIRMINGHAM 1,State House,156,DEM,Write-In Totals,0,0,0
Chester,014 BIRMINGHAM 1,President, ,REP,DONALD J TRUMP,165,51,114
Chester,014 BIRMINGHAM 1,President, ,REP,ROQUE ROCKY DE LA FUENTE,5,2,3
