county,precinct,office,district,party,candidate,election_day,mail_in,provisional,votes
Cambria,ADAMS TOWNSHIP NO. 1,Registered Voters,,,,,,,1060
Cambria,ADAMS TOWNSHIP NO. 1,Registered Voters,,DEM,,,,,421
Cambria,ADAMS TOWNSHIP NO. 1,Registered Voters,,REP,,,,,540
Cambria,ADAMS TOWNSHIP NO. 1,Ballots Cast,,,,255,135,2,392
Cambria,ADAMS TOWNSHIP NO. 1,Ballots Cast,,DEM,,86,88,1,175
Cambria,ADAMS TOWNSHIP NO. 1,Ballots Cast,,REP,,169,47,1,217
Cambria,ADAMS TOWNSHIP NO. 1,President,,DEM,Bernie Sanders,13,10,0,23
Cambria,ADAMS TOWNSHIP NO. 1,President,,DEM,Joseph R. Biden,41,75,1,117
Cambria,ADAMS TOWNSHIP NO. 1,President,,DEM,Tulsi Gabbard,10,1,0,11
Cambria,ADAMS TOWNSHIP NO. 1,President,,DEM,Write-In,10,1,0,11
Cambria,ADAMS TOWNSHIP NO. 1,Attorney General,,DEM,Josh Shapiro,74,86,1,161
Cambria,ADAMS TOWNSHIP NO. 1,Attorney General,,DEM,Write-In,0,0,0,0
Cambria,ADAMS TOWNSHIP NO. 1,Auditor General,,DEM,H. Scott Conklin,38,47,0,85
Cambria,ADAMS TOWNSHIP NO. 1,Auditor General,,DEM,Michael Lamb,21,23,1,45
Cambria,ADAMS TOWNSHIP NO. 1,Auditor General,,DEM,Tracie Fountain,3,2,0,5
Cambria,ADAMS TOWNSHIP NO. 1,Auditor General,,DEM,Rose Rosie Marie Davis,4,2,0,6
Cambria,ADAMS TOWNSHIP NO. 1,Auditor General,,DEM,Nina Ahmad,1,3,0,4
Cambria,ADAMS TOWNSHIP NO. 1,Auditor General,,DEM,Christina M. Hartman,10,11,0,21
Cambria,ADAMS TOWNSHIP NO. 1,Auditor General,,DEM,Write-In,0,0,0,0
Cambria,ADAMS TOWNSHIP NO. 1,State Treasurer,,DEM,Joe Torsella,69,83,1,153
