county,office,district,party,candidate,election_day,mail,provisional,votes
Jefferson,Registered Voters,,,,0,0,0,28027
Jefferson,Ballots Cast,,,,10561,1843,16,12420
Jefferson,Judge of the Superior Court,,DEM,Brandon Neuman,1133,546,0,2933
Jefferson,Judge of the Superior Court,,REP,Maria Battista,5006,463,0,9051
Jefferson,Judge of the Superior Court,,LBR,Daniel Wassmer,94,21,0,208
Jefferson,Judge of the Commonwealth Court,,DEM,Stella Tsai,1177,558,0,3018
Jefferson,Judge of the Commonwealth Court,,REP,Matt Wolford,5018,471,0,9113
Jefferson,Coroner,,DEM,James O'Bryon,2322,579,0,5724
Jefferson,Coroner,,REP,Greg Furlong,3956,444,0,6548
Jefferson,District Attorney,,REP,Jeff Burkett,5676,782,0,10801
Jefferson,Prothonotary & Clerk of Courts,,D/R,Kayla Kromer,4923,772,0,9571
Jefferson,Treasurer,,D/R,Tonya S Geist,3838,677,0,7980
Jefferson,School Director (4 Year Term) - Brockway Region I,,DEM,Megan Bussard,222,63,0,285
Jefferson,School Director (4 Year Term) - Brockway Region I,,REP,Adam Campbell,197,38,0,235
Jefferson,School Director (4 Year Term) - Brockway Region II,,D/R,Lori A Sabatose,0,0,0,276
Jefferson,School Director (4 Year Term) - Brockway Region II,,REP,Katie Morris,0,0,0,360
Jefferson,School Director (4 Year Term) - Brockway Region III,,REP,Jeff Ginther,70,11,0,563
Jefferson,School Director (4 Year Term) - Brookville School District,,DEM,Frank Bartley,734,238,0,1084
Jefferson,School Director (4 Year Term) - Brookville School District,,D/R,Luc Doolittle,1844,294,0,2466
Jefferson,School Director (4 Year Term) - Brookville School District,,D/R,Justin Ransel,1531,251,0,2044
Jefferson,School Director (4 Year Term) - Brookville School District,,D/R,Christa Park,1521,257,0,2074
Jefferson,School Director (4 Year Term) - Brookville School District,,REP,Rhodes Christopher,2072,221,0,2682
Jefferson,School Director (4 Year Term) - Clarion Limestone Region III,,D/R,Bryan D Huwar,140,20,0,160
Jefferson,School Director (4 Year Term) - Clarion Limestone Region III,,CON,Thomas A Walter,185,11,0,196
Jefferson,School Director (4 Year Term) - DuBois District B,,D/R,Kristen Williams,0,0,0,201
Jefferson,School Director (2 Year Term) - DuBois District B,,REP,Leech Brian Frederick,0,0,0,200
Jefferson,School Director (4 Year Term) - DuBois District C,,D/R,Samuel Armagost E,209,44,0,1366
Jefferson,School Director (4 Year Term) - Punxsutawney Area,,DEM,Lisa Gourley,564,228,0,1411
Jefferson,School Director (4 Year Term) - Punxsutawney Area,,D/R,Alan S Nichol,1574,266,0,2976
Jefferson,School Director (4 Year Term) - Punxsutawney Area,,D/R,Cindy Hutchinson Depp,1225,228,0,2414
Jefferson,School Director (4 Year Term) - Punxsutawney Area,,D/R,Chad Horner,1673,242,0,3086
Jefferson,School Director (4 Year Term) - Punxsutawney Area,,D/R,Heather Kunselman Serian,1391,215,0,2621
Jefferson,School Director (4 Year Term) - Punxsutawney Area,,REP,Katie Laska,1810,180,0,3198
Jefferson,Supervisor (6 Year Term) - Barnett Twp,,REP,Randy Graham,71,14,0,85
Jefferson,Tax Collector (4 Year Term) - Barnett Twp,,DEM,Martha A Fye,70,16,0,86
Jefferson,Judge of Election - Barnett Twp,,DEM,Robert W Fye,64,15,0,79
Jefferson,Supervisor (6 Year Term) - Beaver Twp,,REP,Bob Raybuck,0,0,0,151
Jefferson,Tax Collector (4 Year Term) - Beaver Twp,,REP,Deb Sharp,0,0,0,162
Jefferson,Judge of Election - Beaver Twp,,REP,Linda Young,0,0,0,158
Jefferson,Inspector of Election - Beaver Twp,,REP,Diane Park,0,0,0,148
Jefferson,Supervisor (6 Year Term) - Bell Twp,,REP,Sr Douglas C Horne,282,57,0,339
Jefferson,Auditor (6 Year Term) - Bell Twp,,REP,Gary R Hughes,507,71,0,578
Jefferson,Tax Collector (4 Year Term) - Bell Twp,,D/R,Michele Zimmerman,512,96,0,608
Jefferson,Judge of Election - Bell Twp,,REP,Deneen Evans,515,67,0,582
Jefferson,Inspector of Election - Bell Twp,,REP,Karen Lewis,515,64,0,579
Jefferson,Tax Collector (4 Year Term) - Big Run Boro,,REP,Pamela Wachob,119,19,0,138
Jefferson,Judge of Election - Big Run Boro,,REP,Virginia M Maines,114,19,0,133
Jefferson,Inspector of Election - Big Run Boro,,REP,Melissa M Peffer,114,19,0,133
Jefferson,Mayor - Brockway Boro,,D/R,William D Hrinya,395,88,0,483
Jefferson,Borough Council (4 Year Term) - Brockway Boro,,REP,G Edward Horner,302,69,0,371
Jefferson,Borough Council (4 Year Term) - Brockway Boro,,REP,Rick Renwick,259,65,0,324
Jefferson,Borough Council (4 Year Term) - Brockway Boro,,REP,Paul Grecco,272,64,0,336
Jefferson,Tax Collector (4 Year Term) - Brockway Boro,,D/R,Leslee S Galluzzi,397,93,0,490
Jefferson,Mayor - Brookville Boro,,D/R,Richard D Beck,808,172,0,980
Jefferson,Borough Council (4 Year Term) - Brookville Boro,,DEM,Lucy Ames,428,137,0,565
Jefferson,Borough Council (4 Year Term) - Brookville Boro,,DEM,David Taylor,249,117,0,366
Jefferson,Borough Council (4 Year Term) - Brookville Boro,,D/R,Karen L Allgeier,538,119,0,657
Jefferson,Borough Council (4 Year Term) - Brookville Boro,,D/R,Sarah Gallagher,596,117,0,713
Jefferson,Borough Council (4 Year Term) - Brookville Boro,,REP,David C Smail,600,97,0,697
