county,office,district,party,candidate,votes,election_day,mail,provisional
Beaver,Registered Voters,,,,114153,0,0,0
Beaver,Ballots Cast,,,,48421,36732,11573,116
Beaver,Judge of the Superior Court,,DEM,BRANDON NEUMAN,22514,14366,8073,75
Beaver,Judge of the Superior Court,,REP,MARIA BATTISTA,23705,20715,2953,37
Beaver,Judge of the Superior Court,,LBR,DANIEL WASSMER,1082,791,289,2
Beaver,Judge of the Superior Court,,,Write-ins,43,38,5,0
Beaver,Judge of the Commonwealth Court,,DEM,STELLA TSAI,23064,14750,8239,75
Beaver,Judge of the Commonwealth Court,,REP,MATT WOLFORD,24228,21089,3100,39
Beaver,Judge of the Commonwealth Court,,,Write-ins,67,62,5,0
Beaver,School Director (4 Year),Aliquippa,DEM,SANDRA GILL,1201,827,373,1
Beaver,School Director (4 Year),Aliquippa,DEM,BRIAN M SIMS SR,1127,773,353,1
Beaver,School Director (4 Year),Aliquippa,DEM,YVONNE JACKSON,972,633,338,1
Beaver,School Director (4 Year),Aliquippa,DEM,TINA PRICE GENES,1121,760,361,0
Beaver,School Director (4 Year),Aliquippa,REP,TORRI DURHAM FLANNIGAN,666,546,117,3
Beaver,School Director (4 Year),Aliquippa,,Write-ins,70,63,7,0
Beaver,School Director (2 Year),Aliquippa,DEM,TINA PRICE GENES,1486,1039,446,1
Beaver,School Director (2 Year),Aliquippa,,Write-ins,143,130,12,1
Beaver,Borough Council (4 Year),City of Aliquippa,DEM,BARBARA HILL,1230,822,406,2
Beaver,Borough Council (4 Year),City of Aliquippa,DEM,KARMA JACKSON,1156,799,356,1
Beaver,Borough Council (4 Year),City of Aliquippa,,Write-ins,121,112,8,1
Beaver,Controller (2 Year),City of Aliquippa,,Write-ins,266,218,48,0
Beaver,Judge of Election,,DEM,ELIZABETH TAYLOR,63,50,13,0
Beaver,Judge of Election,,,Write-ins,2216,1805,405,6
Beaver,Inspector of Elections,,,Write-ins,2134,1715,411,8
Beaver,Supreme Court Retention - Christine Donohue,,,Yes,24890,16580,8229,81
Beaver,Supreme Court Retention - Christine Donohue,,,No,22184,19042,3107,35
Beaver,Supreme Court Retention - Kevin M Dougherty,,,Yes,24867,16600,8185,82
Beaver,Supreme Court Retention - Kevin M Dougherty,,,No,22133,18961,3138,34
Beaver,Supreme Court Retention - David Wecht,,,Yes,25159,16788,8290,81
Beaver,Supreme Court Retention - David Wecht,,,No,21842,18766,3041,35
Beaver,Superior Court Retention - Alice Beck Dubow,,,Yes,25069,16922,8070,77
Beaver,Superior Court Retention - Alice Beck Dubow,,,No,20876,17778,3062,36
Beaver,Commonwealth Court Retention - Michael H Wojcik,,,Yes,25379,17265,8035,79
Beaver,Commonwealth Court Retention - Michael H Wojcik,,,No,20501,17367,3101,33
Beaver,Court of Common Pleas Retention - Dale M Fouse,,,Yes,29360,20698,8576,86
Beaver,Court of Common Pleas Retention - Dale M Fouse,,,No,16858,14244,2587,27
Beaver,Judge of Election,,DEM,MAUREEN L REDD,198,142,56,0
Beaver,Inspector of Elections,,DEM,REUBEN J FULLER,189,136,53,0
Beaver,Judge of Election,,DEM,DENISE TAYLOR,77,60,16,1
Beaver,Judge of Election,,DEM,JONNYE WEBER,140,97,43,0
Beaver,Judge of Election,,DEM,DELBERT HOWZE,370,266,104,0
Beaver,Judge of Election,,DEM,SHARON LEE DONOSO,352,213,139,0
Beaver,Inspector of Elections,,DEM,PAULA PLACIDI,353,215,138,0
Beaver,Judge of Election,,DEM,JEAN RIVETTI,235,160,75,0
Beaver,Magisterial District Judge,36-1-01,DEM/REP,ALEX KOROL,3099,2363,728,8
