county,office,district,party,candidate,election_day,mail,provisional,votes
Armstrong,Judge of the Superior Court,,REP,MARIA BATTISTA,11939,1026,7,12972
Armstrong,Judge of the Superior Court,,DEM,BRANDON NEUMAN,3670,1877,21,5568
Armstrong,Judge of the Superior Court,,LBR,DANIEL WASSMER,289,54,0,343
Armstrong,Judge of the Superior Court,,WRITE-IN,scatter,16,2,0,18
Armstrong,Judge of the Commonwealth Court,,REP,MATT WOLFORD,12162,1081,8,13251
Armstrong,Judge of the Commonwealth Court,,DEM,STELLA TSAI,3674,1868,20,5562
Armstrong,Judge of the Commonwealth Court,,WRITE-IN,scatter,10,3,0,13
Armstrong,Coroner,,DEM/REP,BRIAN MYERS,14875,2737,25,17637
Armstrong,Coroner,,WRITE-IN,scatter,97,14,0,111
Armstrong,District Attorney,,REP,KATIE CHARLTON,13975,2085,18,16078
Armstrong,District Attorney,,WRITE-IN,scatter,311,64,0,375
Armstrong,District Attorney,,DEM/REP,FRANK PITZER,14533,2644,24,17201
Armstrong,District Attorney,,WRITE-IN,scatter,181,19,1,201
Armstrong,School Director in the Allegheny-Clarion Valley School District - Region I,,WRITE-IN,SCATTER,9,2,1,12
Armstrong,School Director in the Allegheny-Clarion Valley School District - Region I,,WRITE-IN,ERIK SUNDLING,5,0,0,5
Armstrong,School Director in the Allegheny-Clarion Valley School District - Region I,,WRITE-IN,WES BAUM,2,0,0,2
Armstrong,School Director in the Allegheny-Clarion Valley School District - Region I,,WRITE-IN,GARY GALLAGHER,2,0,0,2
Armstrong,School Director in the Allegheny-Clarion Valley School District - Region I,,WRITE-IN,BROCK FELIX,1,0,0,1
Armstrong,School Director at Large in the Apollo Ridge School District 4 Year Term,,REP,SHANNON WOFFORD,1091,146,0,1237
Armstrong,School Director at Large in the Apollo Ridge School District 4 Year Term,,DEM/REP,DOMINICK DUSO,872,236,0,1108
Armstrong,School Director at Large in the Apollo Ridge School District 4 Year Term,,DEM/REP,MELANY E ANDREE,869,217,1,1087
Armstrong,School Director at Large in the Apollo Ridge School District 4 Year Term,,DEM,JOHN R CLARK,644,245,2,891
Armstrong,School Director at Large in the Apollo Ridge School District 4 Year Term,,WRITE-IN,SCATTER,41,6,0,47
Armstrong,School Director in the Armstrong School - Region I 4 Year Term,,SS,TIFFANY SWARTZ,1830,348,7,2185
Armstrong,School Director in the Armstrong School - Region I 4 Year Term,,DEM/REP,ERIC S PETROSKY,1819,315,1,2135
Armstrong,School Director in the Armstrong School - Region I 4 Year Term,,WRITE-IN,scatter,17,0,0,17
Armstrong,School Director in the Armstrong School - Region II 4 Year Term,,REP,JORN JENSEN,1456,151,1,1608
Armstrong,School Director in the Armstrong School - Region II 4 Year Term,,RE,BRET ATWOOD,1229,267,0,1496
Armstrong,School Director in the Armstrong School - Region II 4 Year Term,,DEM,TRACY E BOWSER,418,215,1,634
Armstrong,School Director in the Armstrong School - Region II 4 Year Term,,WRITE-IN,scatter,21,0,0,21
Armstrong,School Director in the Armstrong School - Region III 4 Year Term,,DEM/REP,BRENDA S SCHRECENGOST,1911,339,3,2253
Armstrong,School Director in the Armstrong School - Region III 4 Year Term,,DEM/REP,DARLENE SMAIL,1874,350,3,2227
Armstrong,School Director in the Armstrong School - Region III 4 Year Term,,WRITE-IN,scatter,74,12,0,86
Armstrong,School Director at Large in the Freeport Area School District 4 Year Term,,DEM/REP,GARY L RISCH JR,674,124,0,798
Armstrong,School Director at Large in the Freeport Area School District 4 Year Term,,DEM/REP,CHRISTINE DAVIES,641,147,2,790
Armstrong,School Director at Large in the Freeport Area School District 4 Year Term,,DEM/REP,MELANIE ZEMBRZUSKI,639,130,0,769
Armstrong,School Director at Large in the Freeport Area School District 4 Year Term,,WRITE-IN,SCATTER,93,25,0,118
Armstrong,School Director at Large in the Freeport Area School District 4 Year Term,,WRITE-IN,SHANE HINDERLITER,51,0,0,51
Armstrong,School Director at Large in the Freeport Area School District 4 Year Term,,WRITE-IN,GENE BRESKI,34,2,0,36
Armstrong,School Director at Large in the Freeport Area School District 4 Year Term,,WRITE-IN,SAMANTHA BUTERBAUGH,15,0,0,15
Armstrong,School Director at Large in the Karns City School District 4 Year Term (Vote for,,REP,WILLIAM F WEIBEL,398,47,0,445
Armstrong,School Director at Large in the Karns City School District 4 Year Term (Vote for,,DEM/REP,CARI M HARMON,328,67,1,396
Armstrong,School Director at Large in the Karns City School District 4 Year Term (Vote for,,REP,ZACH SCHERER,342,36,0,378
Armstrong,School Director at Large in the Karns City School District 4 Year Term (Vote for,,IND,TARA HACKWELDER,265,65,1,331
Armstrong,School Director at Large in the Karns City School District 4 Year Term (Vote for,,DEM/REP,ROBERT (KEN) BRAY,263,48,1,312
Armstrong,School Director at Large in the Karns City School District 4 Year Term (Vote for,,LBR,MORGEN MOGUS,298,9,0,307
Armstrong,School Director at Large in the Karns City School District 4 Year Term (Vote for,,DEM,DAVID BLAIR,206,66,1,273
Armstrong,School Director at Large in the Karns City School District 4 Year Term (Vote for,,WRITE-IN,SCATTER,8,1,0,9
Armstrong,School Director in the Kiski Area School District - Region III 4 Year Term,,DEM/REP,NICOLE KAMER,465,114,0,579
Armstrong,School Director in the Kiski Area School District - Region III 4 Year Term,,WRITE-IN,SCATTER,3,2,0,5
Armstrong,School Director at Large in the Leechburg Area School District 4 Year Term,,DEM/REP,DARIUS R LOVELACE,741,193,0,934
Armstrong,School Director at Large in the Leechburg Area School District 4 Year Term,,DEM/REP,DANIELLE M REINKE,685,179,0,864
Armstrong,School Director at Large in the Leechburg Area School District 4 Year Term,,DEM/REP,CANDI STEWART,673,174,0,847
Armstrong,School Director at Large in the Leechburg Area School District 4 Year Term,,DEM,NEILL F BRADY,539,184,1,724
Armstrong,School Director at Large in the Leechburg Area School District 4 Year Term,,REP,JANIE BORSH SYMONS,553,71,0,624
Armstrong,School Director at Large in the Leechburg Area School District 4 Year Term,,WRITE-IN,TOM MAXIN,180,5,0,185
Armstrong,School Director at Large in the Leechburg Area School District 4 Year Term,,WRITE-IN,ASHLEY COUDRIET,81,3,0,84
Armstrong,School Director at Large in the Leechburg Area School District 4 Year Term,,WRITE-IN,scatter,47,8,0,55
Armstrong,School Director at Large in the Leechburg Area School District 2 Year Term,,REP,REBECCA (BECKY) BLAS,596,52,0,648
Armstrong,School Director at Large in the Leechburg Area School District 2 Year Term,,DEM,TRACY SCHAEFFER,457,188,1,646
Armstrong,School Director at Large in the Leechburg Area School District 2 Year Term,,WRITE-IN,scatter,4,0,0,4
Armstrong,School Director in the Redbank Area School District - Region I 4 Year Term,,DEM/REP,MANDY BLAKE,607,75,2,684
Armstrong,School Director in the Redbank Area School District - Region I 4 Year Term,,WRITE-IN,scatter,6,2,0,8
Armstrong,School Director in the Redbank Area School District - Region III 4 Year Term,,REP,HEIDI L BYERS,195,17,0,212
Armstrong,School Director in the Redbank Area School District - Region III 4 Year Term,,WRITE-IN,SCATTER,1,2,0,3
Armstrong,School Director in the Redbank Area School District - Region III 4 Year Term,,WRITE-IN,JANICE SNYDER,1,0,0,1
Armstrong,School Director in the Redbank Area School District - Region III 4 Year Term,,WRITE-IN,RICK SONGER,1,0,0,1
Armstrong,School Director in the Redbank Area School District - Region III 4 Year Term,,WRITE-IN,RONNIE GIEST,1,0,0,1
Armstrong,School Director in the Redbank Area School District - Region III 4 Year Term,,WRITE-IN,AEROS LILLSTROM,1,0,0,1
Armstrong,Apollo Borough Council 4 Year Term,,REP,CONNIE JEANNE RUMMEL,157,25,1,183
Armstrong,Apollo Borough Council 4 Year Term,,REP,SHERRY L SABATINO,135,23,0,158
Armstrong,Apollo Borough Council 4 Year Term,,WRITE-IN,MICHELE BECK,43,0,0,43
Armstrong,Apollo Borough Council 4 Year Term,,WRITE-IN,sCATTER,27,2,0,29
Armstrong,Apollo Borough Council 4 Year Term,,WRITE-IN,JERROD HENRY,18,0,0,18
Armstrong,Apollo Borough Council 4 Year Term,,WRITE-IN,PATRICK ZELONKA,5,0,0,5
Armstrong,Apollo Borough Council 4 Year Term,,WRITE-IN,KRISTINA FOX,5,0,0,5
Armstrong,Applewold Borough Council 4 Year Term,,REP,WENDY BUZARD,68,5,0,73
Armstrong,Applewold Borough Council 4 Year Term,,DEM,RICK MERCURIO,57,7,0,64
Armstrong,Applewold Borough Council 4 Year Term,,DEM,KRISTIN CLOUNER,50,7,0,57
Armstrong,Applewold Borough Council 4 Year Term,,REP,RAYMOND JOHNSON,44,2,0,46
Armstrong,Applewold Borough Council 4 Year Term,,REP,TIMOTHY RAY HETRICK,35,3,0,38
Armstrong,Applewold Borough Council 4 Year Term,,WRITE-IN,SCATTER,3,1,0,4
Armstrong,Atwood Borough Council 4 Year Term,,REP,GREG BROWN,38,3,1,42
Armstrong,Atwood Borough Council 4 Year Term,,REP,DAVID A BOWSER JR,37,3,1,41
Armstrong,Atwood Borough Council 4 Year Term,,REP,GARY RANKIN,37,2,1,40
Armstrong,Atwood Borough Council 4 Year Term,,REP,BRIAN BUSSARD,35,2,1,38
Armstrong,Atwood Borough Council 4 Year Term,,WRITE-IN,SCATTER,0,4,0,4
Armstrong,Atwood Borough Council 4 Year Term,,WRITE-IN,SCATTERED,0,1,0,1
Armstrong,Dayton Borough Council 4 Year Term,,REP,CHERYL D BARNETT,101,5,0,106
Armstrong,Dayton Borough Council 4 Year Term,,REP,ROBERT J BURNS,99,4,0,103
Armstrong,Dayton Borough Council 4 Year Term,,REP,MARK ENTERLINE,97,4,0,101
Armstrong,Dayton Borough Council 4 Year Term,,REP,DAWN ENTERLINE,85,4,0,89
Armstrong,Dayton Borough Council 4 Year Term,,WRITE-IN,SCATTER,44,1,0,45
Armstrong,Dayton Borough Council 4 Year Term,,WRITE-IN,DANIEL WAYNE REESMAN,31,0,0,31
