county,precinct,office,district,party,candidate,votes,election_day_votes,mail-in/absentee_votes,provisional_votes
Fayette,Belle Vernon Borough - 02-01,Judge of the Superior Court,,DEM,Brandon Neuman,94,57,36,1
Fayette,Brownsville Township - 04-01,Judge of the Superior Court,,DEM,Brandon Neuman,88,52,34,2
Fayette,Brownsville Borough 1 - 06-01,Judge of the Superior Court,,DEM,Brandon Neuman,63,46,16,1
Fayette,Brownsville Borough 2 - 06-02,Judge of the Superior Court,,DEM,Brandon Neuman,84,54,29,1
Fayette,Brownsville Borough 3 - 06-03,Judge of the Superior Court,,DEM,Brandon Neuman,98,72,26,0
Fayette,Bullskin Township 1 - 08-01,Judge of the Superior Court,,DEM,Brandon Neuman,320,164,145,11
Fayette,Bullskin Township 2 - 08-02,Judge of the Superior Court,,DEM,Brandon Neuman,99,59,40,0
Fayette,Bullskin Township 3 - 08-03,Judge of the Superior Court,,DEM,Brandon Neuman,153,99,53,1
Fayette,Connellsville City 1- 10-01,Judge of the Superior Court,,DEM,Brandon Neuman,194,138,52,4
Fayette,Connellsville City 2- 10-02,Judge of the Superior Court,,DEM,Brandon Neuman,182,117,59,6
Fayette,Connellsville City 3- 10-03,Judge of the Superior Court,,DEM,Brandon Neuman,75,52,22,1
Fayette,Connellsville City 4- 10-04,Judge of the Superior Court,,DEM,Brandon Neuman,146,103,43,0
Fayette,Connellsville Township - 12-01,Judge of the Superior Court,,DEM,Brandon Neuman,174,121,53,0
Fayette,Dawson Borough - 14-01,Judge of the Superior Court,,DEM,Brandon Neuman,24,19,4,1
Fayette,Dunbar Township 1 - 16-01,Judge of the Superior Court,,DEM,Brandon Neuman,201,113,86,2
Fayette,Dunbar Township 2 - 16-02,Judge of the Superior Court,,DEM,Brandon Neuman,394,198,194,2
Fayette,Dunbar  Borough - 18-01,Judge of the Superior Court,,DEM,Brandon Neuman,74,49,25,0
Fayette,Everson Borough - 20-01,Judge of the Superior Court,,DEM,Brandon Neuman,52,45,7,0
Fayette,Fairchance Borough - 22-01,Judge of the Superior Court,,DEM,Brandon Neuman,174,98,74,2
Fayette,Fayette City Borough - 24-01,Judge of the Superior Court,,DEM,Brandon Neuman,49,43,6,0
Fayette,Franklin Township 1 - 26-01,Judge of the Superior Court,,DEM,Brandon Neuman,111,61,50,0
Fayette,Franklin Township 2 - 26-02,Judge of the Superior Court,,DEM,Brandon Neuman,99,52,45,2
Fayette,Georges Township 1 - 28-01,Judge of the Superior Court,,DEM,Brandon Neuman,135,77,57,1
Fayette,Georges Township 2 - 28-02,Judge of the Superior Court,,DEM,Brandon Neuman,193,105,86,2
Fayette,Georges Township 3 - 28-03,Judge of the Superior Court,,DEM,Brandon Neuman,203,106,97,0
Fayette,German Township 1 - 30-01,Judge of the Superior Court,,DEM,Brandon Neuman,205,145,58,2
Fayette,German Township 2 - 30-02,Judge of the Superior Court,,DEM,Brandon Neuman,118,87,31,0
Fayette,German Township 3 - 30-03,Judge of the Superior Court,,DEM,Brandon Neuman,108,76,32,0
